Class,Tweet
AMZ,"I'm at Cafe Amazon ( ) in Udon Thani, Changwat Udon Thani https://t.co/cZPU4ZX3QF"
AMZ,"I'm at Cafe Amazon ( ) in Udon Thani, Changwat Udon Thani https://t.co/Lsen22DlDo"
AMZ,"I'm at Café Amazon (คาเฟ่ อเมซอน) in Mueang Pathum Thani, Pathum Thani swarma"
AMZ,I'm at Cafe Amazon @ PTT Tha Kratoam https://t.co/o5ldLBovnW
AMZ,I'm at Cafe Amazon https://t.co/cJI5nT0llJ
AMZ,I'm at Cafe' Amazon https://t.co/CP3vOihmAd
AMZ,I'm at Cafe Amazon https://t.co/PSvF2U6RIs
AMZ,I'm at Cafe Amazon https://t.co/uB8vj6SVw9
AMZ,I'm at Cafe Amazon in Bangkok https://t.co/ZqmOXYLKpy
AMZ,"I'm at Cafe Amazon in Chum Porn, Thailand https://t.co/QBSuk4brGM"
AMZ,"I'm at Cafe' Amazon PTT Ubon Ratchathani University in Warin Chamrap, Changwat Ubon Ratchathani https://t.co/MQiFyhfuqt"
AMZ,I'm at Café Amazon swarmapp.com/c/fEXWYWfX
AMZ,Innovative @CafeAmazon 'Drive Awake' campaign thinking #mobilefirst and saving lives at the same time! #DMLDN 
AMZ,Let's have some #coffee.@ #CaféAmazon #PTT #Tak #Thailand 
AMZ,Morning #milktea after lab visit...only for 40bahts… #cafeamazon @ Amazon Café 
AMZ,Only iPhone owners get an eye opening cup of coffee #CafeAmazon #BODGM
AMZ,Relax #CafeAmazon 
AMZ,Road Trip fuel #8milesfromhome #roadtrip #cafeamazon #thailand #theadventurecontinues 
AMZ,The amazon water #CafeAmazon #PTT #Thailand flic.kr/p/szDc41
AMZ,Tropical setting at #CafeAmazon #Thailand #icedcappuccino 
AMZ,Waiting.......👧❤️👧 #amazon #cafeamazon  #รอเธอ @ Cafe' Amazon Central Festival Chiangmai instagram.com/p/4L-OiFSrGp/
AMZ,"what do you mean? @ Cafe' Amazon, PTT Banpong https://t.co/QpxCpOIK35"
AMZ,White Choc Macchi..for lunch. Q(^_^Q) #toonarmies #WhiteChocMacchiato #CafeAmazon 
AMZ,Why I feel cool ? 😅😅😅 #LAQXFLUK #addidas #htcdesire816 #GalaxyNote3 #CafeAmazon 
AMZ,ในที่สุด.... 😋😋😋  #ฟิน #GreenTeawithMilk #CafeAmazon @ Cafe' Amazon Ptt Minburi 
OTH,"Forget the Everything StoreAmazons An Everything Business - Amazon is known as the ""everything store."" But now m... http://t.co/vaKUR3hsT7"
OTH,Forget the Everything StoreAmazons An Everything Business http://t.co/NuaNuU4okJ Interesting #LiderConectado
OTH,Forget the Everything StoreAmazons An Everything Business http://t.co/odS6jDsxLI #technology #tech
OTH,Go and buy my book on the Kindle store - The Mad Hatter's Cafe by Erin Leonard  http://t.co/eQqUAjxgnC
OTH,http://t.co/eQqUAjxgnC http://t.co/YHql7hqjlA  GO BUY MY BOOK ON THE KINDLE STORE FOR 2.99 / OTHER PRICES IN OTHER COUNTRIES
OTH,I love my new  #luxessentials French Press Maker. It makes #coffee taste so good!  http://t.co/obgLGeMDSO
OTH,I'm earning #mPOINTS with #AskDaBall ! http://t.co/b8PG21JDy5 #app
OTH,"Leo Coffee, Tea &amp; Coffee Maker 50% off + Free Shipping from Rs. 85 @ Amazon http://t.co/LZUT9XwsiQ #fb"
OTH,"Leo Coffee, Tea &amp; Coffee Maker 50% off + Free Shipping from Rs. 85 @ Amazon http://t.co/v5Wjv8lmgj"
OTH,"QCY QY8 Mini Bluetooth 4.1 Sweatproof Headphones, Wireless Stereo Running Sports Gym Exercise Headsets with Mi... http://t.co/KSU1aXJNlr"
OTH,"QCY QY8 Mini Bluetooth 4.1 Sweatproof Headphones, Wireless Stereo Running Sports Gym Exercise Headsets with Mi... http://t.co/qx5mVWetOE"
OTH,"QCY QY8 Mini Bluetooth 4.1 Sweatproof Headphones, Wireless Stereo Running Sports Gym Exercise Headsets with Mi... http://t.co/SNSs5xTyxd"
OTH,Rough Guide to Arabic Caf 5 http://t.co/ihUXgiz3p5
OTH,RT @AuthorJude_O: #FREE Looking for a novella? A beach read while on vacations? Under the Sun by @JUDEOUVRARD #romance #love http://t.co/Sm
OTH,RT @AuthorJude_O: #FREE Looking for a novella? A beach read while on vacations? Under the Sun by @JUDEOUVRARD #romance #love http://t.co/Sm
OTH,"RT @blunted215: today I learned that you can order Plan B on Amazon... which is cool, but Prime shipping takes two days."
OTH,"RT @CalumetEditions: RT @AmznFavorites Deliciously outrageous. MAGEL's DAUGHTER. Sex, murder and #ghosts  http://t.co/Z2i1RSDMbK #Kindle #"
OTH,RT @Carmen_Books: From #Draculas country comes#paranormal #thriller by Carmen Stefanescu#WildChildBooks http://t.co/PydF0Ct1Rf
OTH,RT @gary_lindberg: RT @AMZ0NE  #Ebook - A dialogue between Israelis &amp; Palestinians. Please Retweet. http://t.co/KpIXyTXdT4 #Kindle #amreadi
OTH,RT @henrywalton77: RT @AmznFavorites FREE six chapters of CHANGE OF ADDRESS #mystery. http://t.co/EnisEdUnip #kindle #ebook
OTH,RT @HikeOurPlanet: #Space #Cosmos Violet Spiral #Galaxy #Coffee #Gift Basket #Mugs #Coasters #Amazon http://t.co/w7U12mWYai http://t.co/Rfb<U+2026>
OTH,"RT @HistFicteBooks: 4.5 out of 5 stars by 396 reviewers for ""Forsaken Dreams"" by MaryLu Tyndall http://t.co/WmLrYXp0r1 #kindle http://t.co/"
OTH,"RT @lelaniblack: No shirt, no shoes, no Kindle, no problem~in paperback, too #romance on a #coffee farm #Maui http://t.co/d4864ONRI2 http:/<U+2026>"
OTH,RT @markbarnes19: Number 1 in #education leadership today. http://t.co/4eBBrJamZO #edchat http://t.co/27piXTyipa
OTH,RT @maxwestart: More fun with Rusty &amp; Sam in Sunnyville Vol. 2 - GET IT!! http://t.co/ZDg5MmQ03z #comics
OTH,RT @mckbirdbks: #LoveStory Emerald Wells Caf &amp; Pear Blossom Lane Together for the first time http://t.co/0T3MYyqVkb    http://t.co/r8m9swK
OTH,RT @myteripolo_: http://t.co/eQqUAjxgnC http://t.co/YHql7hqjlA  GO BUY MY BOOK ON THE KINDLE STORE FOR 2.99 / OTHER PRICES IN OTHER COUNTR
OTH,RT @PandoraSpocksWP: Treat yourself to a little kink! Luke &amp; Bella:Two Streets Over http://t.co/RFW7EXsAJU #ASMSG #romance #erotica http://
OTH,RT @qikipedia: The Romans split France into Trousered Gaul in the south and Hairy Gaul in the north. (Via: http://t.co/nVGXu0dnhW)
OTH,RT @reesspace: Get 35% Off Gravydeals Samsung Galaxy S6 Ultra Thin Case USE DISCOUNT CODE JXEOQTOC http://t.co/tTaaR8ghjY #discount #deal #
OTH,RT @Tammysdragonfly: Nervous Bride Wrong Groom Telepathic Rescue Dog @RaineEnglish #MagicalWeddings #TW4RW #ASMSG http://t.co/yDeAYxSAba ht
OTH,Slow motion video   FAIR TRADE BIO COFFEE  <U+27A1>  http://t.co/e5RpIg5vdk  My last Latte Art video <U+27A1><U+FE0F>... http://t.co/V3ReNBfS2D
OTH,Solar plane prepares for Amazon mission http://t.co/dRlu8TxXWg
OTH,"Starts out slow, then grows on you. No not like mold.RETWEET Emerald Wells Caf  http://t.co/0T3MYyIwbJ #mckbirdbks"
OTH,"""Emerald Wells Cafe"" - an engrossing read by Mike Friedman @mckbirdbks on Amazon! "
OTH,#Amazon #Coffee Store<U+00A9><U+2615>http://t.co/uGL7TiG1iy<U+2615>#coffee #Coffeemaker #grinder<U+2615> http://t.co/d8iTAU6w8e
OTH,#Amazon #Coffee Store<U+00A9><U+2615>http://t.co/uGL7TiG1iy<U+2615>#coffee #Coffeemaker #grinder<U+2615> http://t.co/vs60Ne08jk
OTH,#Amazon #Coffee Store<U+00A9>http://t.co/uGL7TiG1iy<U+2615>Everything you need to make a great cup #coffee #Coffeemaker #grinder<U+2615> http://t.co/eotG2G0edb
OTH,"#APITConnect - Leo Coffee, Tea &amp; Coffee Maker 50% off + Free Shipping from Rs. 85 @ Amazon http://t.co/3qnhi9NkP4"
OTH,#Discover  Emerald Wells Caf &amp; Pear Blossom Lane  Together for the first time  http://t.co/0T3MYyIwbJ   http://t.co/r8m9swKNJs
OTH,#HarryPotter and the art of spying.  How cool is that? http://t.co/VBziRst7l7 #book
OTH,#quote Forget the Everything StoreAmazons An Everything Business http://t.co/7re1MJUmf1
OTH,#WIN a $25 Amazon gift card thanks to Crave by @bjharveyauthor http://t.co/StZvOoe01M http://t.co/vmEwZWZNNG
OTH,35% off! Aerobie AeroPress Coffee Maker http://t.co/FWHG9m7D6E http://t.co/geZXE4CePm
OTH,Aerobie Aeropress Coffee Maker With Tote and Able Standard Filter Disk http://t.co/aUaQyJTa5U http://t.co/3gqKn6mut0
OTH,"Amazon is hiring! #Senior #Manager, Performance Display Advertising Product Management in #Seattle, apply now! #jobs http://t.co/fq5BmSwaTL"
OTH,Blue Moon Cafe Series: Where Shifters Meet for Drinks http://t.co/vwtkuu0RTO  #shapeshifters #paranormal #kindle #99cents
OTH,Carter\'s Little Tiger Halloween Costume-18 Months http://t.co/MAovOGlQQX http://t.co/UVjdJtNlxJ
OTH,"Don't miss 25% special discount!  Mr. Coffee BVMC-SJX33GT 12-Cup Programmable Coffeemaker,... http://t.co/wljIO9NCRY http://t.co/bNc4tHrwrm"
OTH,Down Home please #RT Emerald Wells Caf  http://t.co/0T3MYyIwbJ #mckbirdbks
