date,datetime,cash_type,card,money,coffee_name
2024-03-06,2024-03-06 13:24:07.667,card,ANON-0000-0000-0012,28.9,Americano
2024-03-06,2024-03-06 13:25:14.351,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-06,2024-03-06 14:52:01.761,card,ANON-0000-0000-0029,38.7,Cappuccino
2024-03-06,2024-03-06 14:53:18.344,card,ANON-0000-0000-0029,38.7,Cappuccino
2024-03-07,2024-03-07 10:08:58.945,cash,,40.0,Latte
2024-03-07,2024-03-07 10:18:40.543,card,ANON-0000-0000-0030,38.7,Hot Chocolate
2024-03-07,2024-03-07 11:03:58.976,card,ANON-0000-0000-0031,38.7,Latte
2024-03-07,2024-03-07 11:25:43.977,cash,,40.0,Latte
2024-03-07,2024-03-07 15:40:22.606,card,ANON-0000-0000-0032,28.9,Americano
2024-03-07,2024-03-07 15:41:28.784,card,ANON-0000-0000-0033,33.8,Americano with Milk
2024-03-08,2024-03-08 10:34:41.283,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-08,2024-03-08 12:22:28.653,card,ANON-0000-0000-0034,38.7,Cappuccino
2024-03-08,2024-03-08 13:53:02.042,card,ANON-0000-0000-0035,28.9,Americano
2024-03-08,2024-03-08 14:44:12.686,card,ANON-0000-0000-0012,28.9,Americano
2024-03-08,2024-03-08 14:45:11.048,card,ANON-0000-0000-0033,28.9,Americano
2024-03-08,2024-03-08 14:46:11.155,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024-03-08,2024-03-08 18:57:51.451,card,ANON-0000-0000-0036,38.7,Latte
2024-03-08,2024-03-08 18:59:24.941,card,ANON-0000-0000-0037,38.7,Latte
2024-03-09,2024-03-09 11:49:37.292,cash,,40.0,Hot Chocolate
2024-03-09,2024-03-09 12:05:15.559,card,ANON-0000-0000-0038,24.0,Espresso
2024-03-09,2024-03-09 12:07:38.275,card,ANON-0000-0000-0039,28.9,Americano
2024-03-09,2024-03-09 12:09:47.714,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-09,2024-03-09 12:13:03.521,card,ANON-0000-0000-0040,28.9,Americano
2024-03-09,2024-03-09 12:14:26.458,card,ANON-0000-0000-0040,28.9,Americano
2024-03-09,2024-03-09 13:09:22.229,card,ANON-0000-0000-0041,38.7,Latte
2024-03-09,2024-03-09 13:41:06.167,card,ANON-0000-0000-0042,33.8,Americano with Milk
2024-03-09,2024-03-09 13:53:10.408,card,ANON-0000-0000-0043,28.9,Cortado
2024-03-09,2024-03-09 13:54:36.828,card,ANON-0000-0000-0043,38.7,Cappuccino
2024-03-09,2024-03-09 14:08:01.829,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-03-09,2024-03-09 14:26:52.873,card,ANON-0000-0000-0044,38.7,Hot Chocolate
2024-03-09,2024-03-09 19:17:57.572,card,ANON-0000-0000-0009,38.7,Cappuccino
2024-03-09,2024-03-09 19:19:10.084,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024-03-10,2024-03-10 07:44:18.538,cash,,30.0,Americano
2024-03-10,2024-03-10 07:45:29.441,cash,,35.0,Americano with Milk
2024-03-10,2024-03-10 10:06:02.960,cash,,40.0,Latte
2024-03-10,2024-03-10 11:19:20.764,card,ANON-0000-0000-0045,24.0,Espresso
2024-03-10,2024-03-10 17:51:03.048,cash,,35.0,Americano with Milk
2024-03-10,2024-03-10 19:34:00.478,card,ANON-0000-0000-0046,38.7,Latte
2024-03-10,2024-03-10 19:35:54.712,card,ANON-0000-0000-0046,28.9,Cortado
2024-03-11,2024-03-11 10:18:46.724,cash,,40.0,Latte
2024-03-11,2024-03-11 11:24:15.022,cash,,40.0,Cappuccino
2024-03-11,2024-03-11 11:24:51.565,cash,,30.0,Cortado
2024-03-11,2024-03-11 11:26:44.221,cash,,30.0,Americano
2024-03-11,2024-03-11 11:32:58.781,card,ANON-0000-0000-0035,38.7,Cappuccino
2024-03-11,2024-03-11 16:24:26.401,card,ANON-0000-0000-0047,28.9,Americano
2024-03-11,2024-03-11 16:25:45.664,card,ANON-0000-0000-0047,38.7,Latte
2024-03-11,2024-03-11 16:50:49.608,card,ANON-0000-0000-0048,28.9,Cortado
2024-03-12,2024-03-12 10:15:00.297,cash,,40.0,Latte
2024-03-12,2024-03-12 10:15:34.543,card,ANON-0000-0000-0033,28.9,Americano
2024-03-12,2024-03-12 10:16:24.886,card,ANON-0000-0000-0033,28.9,Cortado
2024-03-12,2024-03-12 11:20:45.632,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-03-12,2024-03-12 12:46:23.275,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-03-12,2024-03-12 12:47:26.027,card,ANON-0000-0000-0004,28.9,Americano
2024-03-12,2024-03-12 16:15:43.325,card,ANON-0000-0000-0050,28.9,Americano
2024-03-13,2024-03-13 11:06:43.038,card,ANON-0000-0000-0048,38.7,Hot Chocolate
2024-03-13,2024-03-13 11:48:16.753,card,ANON-0000-0000-0004,28.9,Americano
2024-03-13,2024-03-13 12:18:06.336,card,ANON-0000-0000-0051,28.9,Americano
2024-03-13,2024-03-13 12:19:05.128,card,ANON-0000-0000-0051,28.9,Americano
2024-03-13,2024-03-13 12:34:30.315,cash,,25.0,Espresso
2024-03-13,2024-03-13 14:26:40.875,card,ANON-0000-0000-0052,33.8,Americano with Milk
2024-03-13,2024-03-13 15:40:22.261,card,ANON-0000-0000-0053,24.0,Espresso
2024-03-13,2024-03-13 15:41:20.424,card,ANON-0000-0000-0053,24.0,Espresso
2024-03-13,2024-03-13 16:47:09.373,card,ANON-0000-0000-0054,24.0,Espresso
2024-03-14,2024-03-14 10:02:12.241,cash,,40.0,Latte
2024-03-14,2024-03-14 10:28:33.017,card,ANON-0000-0000-0055,38.7,Latte
2024-03-14,2024-03-14 10:29:34.283,card,ANON-0000-0000-0055,38.7,Hot Chocolate
2024-03-14,2024-03-14 13:27:29.536,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-14,2024-03-14 13:28:24.527,card,ANON-0000-0000-0012,28.9,Americano
2024-03-14,2024-03-14 13:51:59.905,card,ANON-0000-0000-0056,33.8,Americano with Milk
2024-03-14,2024-03-14 13:52:56.248,card,ANON-0000-0000-0057,24.0,Espresso
2024-03-14,2024-03-14 15:20:38.367,card,ANON-0000-0000-0058,38.7,Latte
2024-03-14,2024-03-14 16:04:09.506,card,ANON-0000-0000-0059,33.8,Americano with Milk
2024-03-14,2024-03-14 16:54:38.202,card,ANON-0000-0000-0050,24.0,Espresso
2024-03-14,2024-03-14 18:58:55.854,card,ANON-0000-0000-0019,38.7,Hot Chocolate
2024-03-14,2024-03-14 19:00:08.663,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-15,2024-03-15 10:02:16.533,cash,,40.0,Latte
2024-03-15,2024-03-15 10:53:02.180,card,ANON-0000-0000-0060,38.7,Hot Chocolate
2024-03-15,2024-03-15 18:19:27.922,card,ANON-0000-0000-0012,28.9,Americano
2024-03-16,2024-03-16 12:06:55.209,card,ANON-0000-0000-0061,33.8,Americano with Milk
2024-03-16,2024-03-16 12:07:53.915,card,ANON-0000-0000-0061,28.9,Americano
2024-03-16,2024-03-16 15:58:18.458,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-16,2024-03-16 16:03:21.738,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-16,2024-03-16 16:04:11.444,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-16,2024-03-16 17:58:07.241,card,ANON-0000-0000-0062,33.8,Americano with Milk
2024-03-17,2024-03-17 10:10:21.399,cash,,40.0,Latte
2024-03-17,2024-03-17 12:55:26.065,card,ANON-0000-0000-0063,28.9,Cortado
2024-03-18,2024-03-18 11:17:59.671,card,ANON-0000-0000-0064,28.9,Cortado
2024-03-18,2024-03-18 15:31:39.725,card,ANON-0000-0000-0003,28.9,Americano
2024-03-18,2024-03-18 15:32:38.239,card,ANON-0000-0000-0003,28.9,Americano
2024-03-18,2024-03-18 15:33:36.708,card,ANON-0000-0000-0003,28.9,Americano
2024-03-19,2024-03-19 10:20:25.996,cash,,30.0,Cortado
2024-03-19,2024-03-19 14:02:21.536,card,ANON-0000-0000-0065,38.7,Latte
2024-03-19,2024-03-19 14:03:19.765,card,ANON-0000-0000-0065,38.7,Latte
2024-03-19,2024-03-19 15:04:36.309,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-03-19,2024-03-19 16:53:48.706,card,ANON-0000-0000-0066,33.8,Americano with Milk
2024-03-19,2024-03-19 19:26:32.677,cash,,40.0,Hot Chocolate
2024-03-20,2024-03-20 11:41:16.403,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-20,2024-03-20 12:21:07.728,cash,,40.0,Latte
2024-03-20,2024-03-20 12:30:48.968,card,ANON-0000-0000-0049,28.9,Cortado
2024-03-20,2024-03-20 13:16:47.394,card,ANON-0000-0000-0067,38.7,Cappuccino
2024-03-20,2024-03-20 16:42:38.117,card,ANON-0000-0000-0050,38.7,Cocoa
2024-03-20,2024-03-20 17:50:28.781,card,ANON-0000-0000-0068,38.7,Latte
2024-03-21,2024-03-21 10:18:56.977,cash,,40.0,Cappuccino
2024-03-21,2024-03-21 12:25:09.194,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-21,2024-03-21 12:26:17.428,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-21,2024-03-21 17:21:01.453,cash,,30.0,Americano
2024-03-21,2024-03-21 17:22:01.353,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-21,2024-03-21 19:20:36.508,card,ANON-0000-0000-0069,38.7,Latte
2024-03-22,2024-03-22 10:35:53.619,card,ANON-0000-0000-0070,33.8,Americano with Milk
2024-03-22,2024-03-22 13:29:20.343,card,ANON-0000-0000-0071,33.8,Americano with Milk
2024-03-22,2024-03-22 16:15:14.448,cash,,40.0,Cappuccino
2024-03-22,2024-03-22 17:17:03.724,card,ANON-0000-0000-0012,28.9,Americano
2024-03-22,2024-03-22 17:17:58.991,card,ANON-0000-0000-0012,24.0,Espresso
2024-03-22,2024-03-22 17:20:49.490,card,ANON-0000-0000-0050,28.9,Americano
2024-03-23,2024-03-23 10:43:59.559,card,ANON-0000-0000-0072,38.7,Latte
2024-03-23,2024-03-23 10:45:07.157,card,ANON-0000-0000-0073,33.8,Americano with Milk
2024-03-23,2024-03-23 13:10:07.661,card,ANON-0000-0000-0074,38.7,Cappuccino
2024-03-23,2024-03-23 13:11:12.230,card,ANON-0000-0000-0074,38.7,Cocoa
2024-03-23,2024-03-23 14:44:41.276,card,ANON-0000-0000-0075,33.8,Americano with Milk
2024-03-23,2024-03-23 15:47:19.062,card,ANON-0000-0000-0076,38.7,Latte
2024-03-23,2024-03-23 15:49:33.813,card,ANON-0000-0000-0076,33.8,Americano with Milk
2024-03-23,2024-03-23 16:00:58.386,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-24,2024-03-24 10:03:56.005,cash,,40.0,Latte
2024-03-24,2024-03-24 18:45:08.397,card,ANON-0000-0000-0077,38.7,Latte
2024-03-25,2024-03-25 10:31:47.250,card,ANON-0000-0000-0009,38.7,Latte
2024-03-25,2024-03-25 11:16:25.671,cash,,35.0,Americano with Milk
2024-03-25,2024-03-25 14:27:09.163,card,ANON-0000-0000-0078,38.7,Latte
2024-03-25,2024-03-25 14:29:25.343,card,ANON-0000-0000-0017,38.7,Latte
2024-03-25,2024-03-25 18:37:30.650,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-03-25,2024-03-25 19:34:24.542,card,ANON-0000-0000-0079,38.7,Cappuccino
2024-03-26,2024-03-26 10:35:49.679,card,ANON-0000-0000-0055,38.7,Cocoa
2024-03-26,2024-03-26 10:36:36.151,card,ANON-0000-0000-0055,38.7,Latte
2024-03-26,2024-03-26 10:42:30.170,card,ANON-0000-0000-0080,38.7,Latte
2024-03-26,2024-03-26 11:11:47.335,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-26,2024-03-26 13:35:52.773,card,ANON-0000-0000-0003,28.9,Americano
2024-03-26,2024-03-26 13:36:49.644,card,ANON-0000-0000-0032,28.9,Cortado
2024-03-26,2024-03-26 13:37:59.723,card,ANON-0000-0000-0059,28.9,Cortado
2024-03-26,2024-03-26 13:57:53.677,card,ANON-0000-0000-0050,28.9,Americano
2024-03-26,2024-03-26 15:48:02.270,card,ANON-0000-0000-0081,38.7,Latte
2024-03-26,2024-03-26 18:33:38.568,card,ANON-0000-0000-0024,38.7,Latte
2024-03-26,2024-03-26 18:34:54.648,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024-03-27,2024-03-27 11:04:51.174,card,ANON-0000-0000-0003,28.9,Cortado
2024-03-27,2024-03-27 11:05:58.236,card,ANON-0000-0000-0003,33.8,Americano with Milk
2024-03-27,2024-03-27 12:57:00.462,card,ANON-0000-0000-0082,33.8,Americano with Milk
2024-03-27,2024-03-27 13:35:20.039,card,ANON-0000-0000-0083,38.7,Hot Chocolate
2024-03-27,2024-03-27 14:22:31.662,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-27,2024-03-27 14:23:35.380,card,ANON-0000-0000-0012,28.9,Americano
2024-03-27,2024-03-27 18:30:11.833,card,ANON-0000-0000-0084,28.9,Cortado
2024-03-27,2024-03-27 19:31:12.442,cash,,40.0,Latte
2024-03-28,2024-03-28 14:24:47.092,card,ANON-0000-0000-0085,28.9,Cortado
2024-03-28,2024-03-28 17:24:46.244,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-28,2024-03-28 17:27:05.304,card,ANON-0000-0000-0012,28.9,Americano
2024-03-28,2024-03-28 17:32:44.652,card,ANON-0000-0000-0086,38.7,Latte
2024-03-29,2024-03-29 10:56:19.495,card,ANON-0000-0000-0087,38.7,Latte
2024-03-29,2024-03-29 12:34:17.383,card,ANON-0000-0000-0088,38.7,Cappuccino
2024-03-29,2024-03-29 12:41:32.125,card,ANON-0000-0000-0088,38.7,Cappuccino
2024-03-29,2024-03-29 13:22:44.618,cash,,40.0,Cappuccino
2024-03-30,2024-03-30 11:59:19.854,card,ANON-0000-0000-0069,38.7,Latte
2024-03-30,2024-03-30 13:49:25.815,cash,,40.0,Cappuccino
2024-03-30,2024-03-30 16:12:31.786,card,ANON-0000-0000-0017,38.7,Latte
2024-03-30,2024-03-30 16:36:40.513,card,ANON-0000-0000-0009,38.7,Latte
2024-03-30,2024-03-30 16:37:57.553,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-03-31,2024-03-31 10:40:04.523,card,ANON-0000-0000-0089,38.7,Cappuccino
2024-03-31,2024-03-31 19:36:45.000,cash,,30.0,Americano
2024-04-01,2024-04-01 10:28:47.601,card,ANON-0000-0000-0004,28.9,Americano
2024-04-01,2024-04-01 10:29:42.318,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-04-01,2024-04-01 10:30:43.735,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-04-01,2024-04-01 11:15:43.836,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-04-01,2024-04-01 17:01:42.924,cash,,40.0,Cappuccino
2024-04-01,2024-04-01 18:18:42.372,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-01,2024-04-01 18:45:27.436,card,ANON-0000-0000-0090,38.7,Hot Chocolate
2024-04-02,2024-04-02 10:01:14.022,card,ANON-0000-0000-0001,38.7,Latte
2024-04-02,2024-04-02 16:18:34.169,card,ANON-0000-0000-0003,28.9,Americano
2024-04-02,2024-04-02 16:19:28.460,card,ANON-0000-0000-0003,28.9,Cortado
2024-04-02,2024-04-02 19:59:31.942,cash,,40.0,Cappuccino
2024-04-03,2024-04-03 10:19:13.644,card,ANON-0000-0000-0003,28.9,Cortado
2024-04-03,2024-04-03 10:20:07.655,card,ANON-0000-0000-0003,28.9,Americano
2024-04-03,2024-04-03 13:12:05.367,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-04-03,2024-04-03 15:36:11.735,cash,,30.0,Cortado
2024-04-04,2024-04-04 10:44:55.988,card,ANON-0000-0000-0091,38.7,Latte
2024-04-04,2024-04-04 11:26:38.085,card,ANON-0000-0000-0092,38.7,Latte
2024-04-04,2024-04-04 11:27:48.411,card,ANON-0000-0000-0093,38.7,Cappuccino
2024-04-04,2024-04-04 12:23:02.216,card,ANON-0000-0000-0094,28.9,Cortado
2024-04-04,2024-04-04 19:42:07.740,cash,,40.0,Latte
2024-04-05,2024-04-05 10:40:42.728,card,ANON-0000-0000-0095,28.9,Americano
2024-04-05,2024-04-05 10:42:06.204,card,ANON-0000-0000-0012,28.9,Americano
2024-04-05,2024-04-05 11:06:14.643,card,ANON-0000-0000-0096,28.9,Cortado
2024-04-05,2024-04-05 12:14:27.975,card,ANON-0000-0000-0097,33.8,Americano with Milk
2024-04-05,2024-04-05 14:23:40.387,card,ANON-0000-0000-0098,38.7,Latte
2024-04-05,2024-04-05 14:24:50.417,card,ANON-0000-0000-0098,28.9,Cortado
2024-04-05,2024-04-05 15:30:50.383,cash,,40.0,Latte
2024-04-05,2024-04-05 15:54:15.768,cash,,40.0,Cappuccino
2024-04-05,2024-04-05 15:55:30.947,cash,,30.0,Americano
2024-04-05,2024-04-05 16:17:43.975,cash,,40.0,Cocoa
2024-04-05,2024-04-05 16:18:23.558,card,ANON-0000-0000-0003,24.0,Espresso
2024-04-06,2024-04-06 12:32:31.398,card,ANON-0000-0000-0099,33.8,Americano with Milk
2024-04-06,2024-04-06 14:13:18.733,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-06,2024-04-06 14:14:27.029,card,ANON-0000-0000-0040,28.9,Americano
2024-04-06,2024-04-06 14:49:50.183,card,ANON-0000-0000-0009,38.7,Latte
2024-04-07,2024-04-07 10:12:53.204,card,ANON-0000-0000-0091,38.7,Latte
2024-04-07,2024-04-07 12:44:31.936,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-07,2024-04-07 12:46:05.118,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-07,2024-04-07 14:16:24.949,card,ANON-0000-0000-0100,28.9,Cortado
2024-04-07,2024-04-07 14:17:30.628,card,ANON-0000-0000-0100,24.0,Espresso
2024-04-07,2024-04-07 18:01:16.608,card,ANON-0000-0000-0101,38.7,Hot Chocolate
2024-04-07,2024-04-07 18:02:03.878,card,ANON-0000-0000-0101,33.8,Americano with Milk
2024-04-08,2024-04-08 10:58:21.106,card,ANON-0000-0000-0102,33.8,Americano with Milk
2024-04-08,2024-04-08 10:59:27.558,card,ANON-0000-0000-0103,38.7,Cappuccino
2024-04-08,2024-04-08 11:01:20.464,card,ANON-0000-0000-0012,28.9,Americano
2024-04-08,2024-04-08 11:04:47.030,card,ANON-0000-0000-0104,38.7,Cappuccino
2024-04-08,2024-04-08 12:54:25.897,cash,,25.0,Espresso
2024-04-08,2024-04-08 15:43:36.881,cash,,35.0,Americano with Milk
2024-04-08,2024-04-08 16:41:37.806,card,ANON-0000-0000-0017,38.7,Latte
2024-04-08,2024-04-08 18:18:09.713,card,ANON-0000-0000-0105,28.9,Americano
2024-04-08,2024-04-08 19:22:27.477,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-08,2024-04-08 19:23:59.268,card,ANON-0000-0000-0106,38.7,Cappuccino
2024-04-09,2024-04-09 10:22:27.359,cash,,40.0,Cappuccino
2024-04-09,2024-04-09 10:24:10.103,cash,,30.0,Americano
2024-04-09,2024-04-09 11:42:28.468,card,ANON-0000-0000-0091,38.7,Latte
2024-04-09,2024-04-09 15:11:48.720,card,ANON-0000-0000-0107,38.7,Hot Chocolate
2024-04-09,2024-04-09 17:25:23.936,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-04-10,2024-04-10 10:21:26.175,cash,,25.0,Espresso
2024-04-10,2024-04-10 17:55:07.018,cash,,40.0,Hot Chocolate
2024-04-10,2024-04-10 17:55:31.244,card,ANON-0000-0000-0108,24.0,Espresso
2024-04-10,2024-04-10 18:24:59.290,card,ANON-0000-0000-0009,38.7,Cappuccino
2024-04-10,2024-04-10 20:04:05.386,card,ANON-0000-0000-0109,38.7,Latte
2024-04-11,2024-04-11 10:41:23.155,card,ANON-0000-0000-0110,28.9,Americano
2024-04-11,2024-04-11 10:42:59.365,card,ANON-0000-0000-0110,28.9,Americano
2024-04-11,2024-04-11 16:35:23.069,card,ANON-0000-0000-0017,38.7,Latte
2024-04-11,2024-04-11 19:16:56.588,card,ANON-0000-0000-0106,38.7,Cappuccino
2024-04-11,2024-04-11 19:18:36.619,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-12,2024-04-12 19:03:43.403,card,ANON-0000-0000-0019,38.7,Hot Chocolate
2024-04-12,2024-04-12 19:38:23.189,card,ANON-0000-0000-0009,28.9,Cortado
2024-04-13,2024-04-13 12:29:19.823,card,ANON-0000-0000-0009,38.7,Latte
2024-04-13,2024-04-13 12:43:02.389,card,ANON-0000-0000-0012,28.9,Americano
2024-04-13,2024-04-13 15:06:52.292,cash,,40.0,Hot Chocolate
2024-04-13,2024-04-13 15:07:55.966,cash,,40.0,Hot Chocolate
2024-04-13,2024-04-13 16:18:03.938,card,ANON-0000-0000-0111,38.7,Cappuccino
2024-04-13,2024-04-13 16:19:39.799,card,ANON-0000-0000-0111,38.7,Latte
2024-04-13,2024-04-13 17:51:26.026,card,ANON-0000-0000-0112,38.7,Cappuccino
2024-04-13,2024-04-13 17:53:19.237,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-04-14,2024-04-14 10:55:27.406,cash,,40.0,Latte
2024-04-14,2024-04-14 12:24:39.028,card,ANON-0000-0000-0113,38.7,Cappuccino
2024-04-14,2024-04-14 12:27:08.951,cash,,30.0,Cortado
2024-04-14,2024-04-14 12:29:06.877,cash,,30.0,Cortado
2024-04-14,2024-04-14 12:31:36.036,cash,,35.0,Americano with Milk
2024-04-14,2024-04-14 13:21:49.808,card,ANON-0000-0000-0114,28.9,Cortado
2024-04-14,2024-04-14 14:23:31.631,card,ANON-0000-0000-0012,28.9,Americano
2024-04-14,2024-04-14 14:24:26.930,card,ANON-0000-0000-0012,28.9,Americano
2024-04-14,2024-04-14 14:25:18.122,card,ANON-0000-0000-0012,28.9,Americano
2024-04-14,2024-04-14 15:46:27.733,card,ANON-0000-0000-0017,38.7,Cappuccino
2024-04-14,2024-04-14 16:59:54.823,card,ANON-0000-0000-0012,28.9,Cortado
2024-04-14,2024-04-14 17:00:45.387,card,ANON-0000-0000-0019,38.7,Latte
2024-04-14,2024-04-14 18:38:19.649,card,ANON-0000-0000-0115,38.7,Cappuccino
2024-04-15,2024-04-15 11:45:24.619,card,ANON-0000-0000-0064,28.9,Americano
2024-04-15,2024-04-15 17:01:46.359,card,ANON-0000-0000-0003,28.9,Americano
2024-04-15,2024-04-15 17:02:49.748,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-04-15,2024-04-15 19:33:03.036,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-04-15,2024-04-15 19:41:58.112,cash,,25.0,Espresso
2024-04-16,2024-04-16 10:43:49.907,cash,,35.0,Americano with Milk
2024-04-16,2024-04-16 10:46:25.706,card,ANON-0000-0000-0116,33.8,Americano with Milk
2024-04-16,2024-04-16 12:40:47.675,card,ANON-0000-0000-0117,38.7,Cocoa
2024-04-16,2024-04-16 12:52:07.750,card,ANON-0000-0000-0064,28.9,Cortado
2024-04-16,2024-04-16 15:03:16.889,card,ANON-0000-0000-0118,28.9,Americano
2024-04-16,2024-04-16 17:42:04.208,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-16,2024-04-16 17:43:22.960,card,ANON-0000-0000-0009,38.7,Cappuccino
2024-04-16,2024-04-16 18:09:05.273,card,ANON-0000-0000-0050,38.7,Cocoa
2024-04-17,2024-04-17 13:32:59.792,card,ANON-0000-0000-0012,28.9,Americano
