date,datetime,cash_type,money,coffee_name
2025-02-14,2025-02-14 19:54:48,card,28.0,Double Irish whiskey
2025-02-15,2025-02-15 09:38:59,card,25.0,Americano
2025-02-15,2025-02-15 11:10:57,card,27.0,Double vanilla
2025-02-15,2025-02-15 13:43:38,cash,30.0,Mochaccino
2025-02-15,2025-02-15 13:45:12,cash,27.0,Irish whiskey with milk
2025-02-15,2025-02-15 15:33:24,card,15.0,Tea
2025-02-15,2025-02-15 15:35:50,card,25.0,Americano with milk
2025-02-15,2025-02-15 15:48:07,card,25.0,Americano with milk
2025-02-16,2025-02-16 16:36:54,card,33.0,Latte
2025-02-16,2025-02-16 16:38:30,card,28.0,Caramel with chocolate
2025-02-16,2025-02-16 16:41:18,cash,25.0,Irish whiskey
2025-02-16,2025-02-16 16:41:18,cash,20.0,Double vanilla
2025-02-16,2025-02-16 19:30:33,card,33.0,Latte
2025-02-16,2025-02-16 23:01:01,card,29.0,Coffee with Irish whiskey
2025-02-16,2025-02-16 23:03:42,card,30.0,Cappuccino
2025-02-16,2025-02-16 23:04:57,card,28.0,Caramel coffee
2025-02-17,2025-02-17 07:58:44,card,20.0,Espresso
2025-02-17,2025-02-17 08:17:59,cash,30.0,Cappuccino
2025-02-17,2025-02-17 16:26:51,card,28.0,Caramel with Irish whiskey
2025-02-17,2025-02-17 16:57:46,cash,25.0,Americano with milk
2025-02-17,2025-02-17 17:00:13,cash,20.0,Espresso
2025-02-17,2025-02-17 17:52:39,card,30.0,Cappuccino
2025-02-17,2025-02-17 18:26:38,cash,29.0,Coffee with Irish whiskey
2025-02-17,2025-02-17 22:10:07,cash,25.0,Americano with milk
2025-02-18,2025-02-18 09:52:42,cash,28.0,Vanilla with Irish whiskey
2025-02-18,2025-02-18 10:14:06,card,25.0,Americano with milk
2025-02-18,2025-02-18 15:36:44,card,30.0,Cappuccino
2025-02-18,2025-02-18 15:42:11,card,25.0,Americano with milk
2025-02-19,2025-02-19 07:56:31,cash,25.0,Americano
2025-02-19,2025-02-19 10:38:04,card,25.0,Americano
2025-02-19,2025-02-19 12:05:08,cash,25.0,Americano with milk
2025-02-19,2025-02-19 12:20:37,card,20.0,Espresso
2025-02-20,2025-02-20 07:38:32,card,30.0,Cappuccino
2025-02-20,2025-02-20 08:04:41,cash,30.0,Mochaccino
2025-02-20,2025-02-20 08:57:54,card,29.0,Coffee with Irish whiskey
2025-02-20,2025-02-20 09:36:06,cash,25.0,Americano with milk
2025-02-20,2025-02-20 09:36:06,cash,20.0,Espresso
2025-02-20,2025-02-20 12:07:16,card,33.0,Latte
2025-02-20,2025-02-20 12:09:01,card,30.0,Cappuccino
2025-02-20,2025-02-20 13:20:58,card,25.0,Chocolate
2025-02-20,2025-02-20 17:06:57,card,25.0,Americano with milk
2025-02-20,2025-02-20 17:09:30,cash,25.0,Americano with milk
2025-02-20,2025-02-20 17:42:39,card,28.0,Double Irish whiskey
2025-02-21,2025-02-21 08:39:10,cash,25.0,Irish whiskey
2025-02-21,2025-02-21 09:20:59,card,30.0,Mochaccino
2025-02-21,2025-02-21 09:49:18,card,25.0,Irish whiskey
2025-02-21,2025-02-21 10:14:07,cash,25.0,Americano with milk
2025-02-21,2025-02-21 15:56:21,card,25.0,Americano with milk
2025-02-21,2025-02-21 16:13:01,card,28.0,Double Irish whiskey
2025-02-21,2025-02-21 16:44:24,cash,20.0,Espresso
2025-02-21,2025-02-21 17:12:49,card,33.0,Latte
2025-02-21,2025-02-21 18:43:58,cash,25.0,Americano with milk
2025-02-21,2025-02-21 18:45:20,card,33.0,Latte
2025-02-21,2025-02-21 18:55:19,cash,15.0,Tea
2025-02-22,2025-02-22 12:08:32,card,28.0,Caramel with chocolate
2025-02-22,2025-02-22 18:38:38,card,33.0,Latte
2025-02-22,2025-02-22 18:38:38,card,25.0,Americano with milk
2025-02-22,2025-02-22 19:05:11,card,29.0,Coffee with Irish whiskey
2025-02-23,2025-02-23 11:04:22,card,28.0,Double Irish whiskey
2025-02-23,2025-02-23 15:09:53,card,25.0,Americano
2025-02-23,2025-02-23 15:19:14,card,25.0,Americano with milk
2025-02-23,2025-02-23 15:57:49,cash,28.0,Double Irish whiskey
2025-02-24,2025-02-24 13:23:23,card,15.0,Tea
2025-02-24,2025-02-24 18:32:28,card,28.0,Caramel with Irish whiskey
2025-02-24,2025-02-24 18:33:49,card,28.0,Caramel with Irish whiskey
2025-02-24,2025-02-24 20:15:01,card,25.0,Caramel with milk
2025-02-25,2025-02-25 21:41:58,card,29.0,Coffee with Irish whiskey
2025-02-25,2025-02-25 21:43:45,card,33.0,Latte
2025-02-26,2025-02-26 09:41:12,cash,25.0,Americano with milk
2025-02-26,2025-02-26 09:41:12,cash,25.0,Americano with milk
2025-02-26,2025-02-26 10:29:33,cash,25.0,Irish whiskey
2025-02-26,2025-02-26 11:31:35,card,33.0,Latte
2025-02-26,2025-02-26 11:36:20,card,27.0,Irish whiskey with milk
2025-02-26,2025-02-26 11:44:39,cash,15.0,Tea
2025-02-26,2025-02-26 11:49:57,cash,20.0,Espresso
2025-02-26,2025-02-26 11:56:36,card,15.0,Tea
2025-02-26,2025-02-26 12:00:27,card,15.0,Tea
2025-02-26,2025-02-26 12:17:03,card,15.0,Tea
2025-02-26,2025-02-26 12:22:20,card,15.0,Tea
2025-02-26,2025-02-26 13:11:29,cash,33.0,Latte
2025-02-26,2025-02-26 14:53:33,card,33.0,Latte
2025-02-26,2025-02-26 16:45:34,card,27.0,Irish whiskey with milk
2025-02-26,2025-02-26 17:08:45,card,29.0,Coffee with Irish whiskey
2025-02-26,2025-02-26 17:13:28,card,25.0,Caramel with milk
2025-02-26,2025-02-26 20:49:00,card,28.0,Caramel with chocolate
2025-02-27,2025-02-27 11:37:57,cash,25.0,Americano with milk
2025-02-27,2025-02-27 17:04:29,cash,15.0,Tea
2025-02-28,2025-02-28 07:58:50,card,25.0,Americano with milk
2025-02-28,2025-02-28 12:02:54,cash,20.0,Espresso
2025-02-28,2025-02-28 14:40:03,cash,33.0,Latte
2025-02-28,2025-02-28 14:42:05,cash,33.0,Latte
2025-02-28,2025-02-28 15:39:43,cash,30.0,Cappuccino
2025-02-28,2025-02-28 15:42:11,cash,25.0,Americano with milk
2025-02-28,2025-02-28 19:54:43,card,28.0,Super chocolate
2025-02-28,2025-02-28 22:14:42,card,28.0,Double Irish whiskey
2025-02-28,2025-02-28 22:32:32,card,25.0,Americano with milk
2025-03-01,2025-03-01 11:37:35,cash,30.0,Cappuccino
2025-03-01,2025-03-01 11:43:55,cash,25.0,Americano with milk
2025-03-01,2025-03-01 12:48:46,cash,15.0,Tea
2025-03-01,2025-03-01 14:48:41,card,27.0,Chocolate with milk
2025-03-01,2025-03-01 16:35:56,card,27.0,Irish whiskey with milk
2025-03-02,2025-03-02 11:18:50,card,25.0,Americano with milk
2025-03-02,2025-03-02 11:20:34,card,30.0,Cappuccino
2025-03-02,2025-03-02 12:16:41,card,28.0,Caramel coffee
2025-03-02,2025-03-02 12:48:05,cash,28.0,Coffee with chocolate
2025-03-02,2025-03-02 12:48:05,cash,30.0,Cappuccino
2025-03-02,2025-03-02 14:54:16,cash,28.0,Super chocolate
2025-03-02,2025-03-02 16:09:56,card,25.0,Irish whiskey
2025-03-02,2025-03-02 20:12:18,card,27.0,Chocolate with milk
2025-03-02,2025-03-02 20:13:42,card,27.0,Irish whiskey with milk
2025-03-02,2025-03-02 20:16:54,card,33.0,Latte
2025-03-02,2025-03-02 20:30:04,cash,25.0,Caramel with milk
2025-03-03,2025-03-03 10:40:15,card,25.0,Americano with milk
2025-03-03,2025-03-03 11:08:15,card,25.0,Irish whiskey
2025-03-03,2025-03-03 11:14:04,card,25.0,Irish whiskey
2025-03-03,2025-03-03 11:24:26,card,27.0,Irish with chocolate
2025-03-03,2025-03-03 16:23:33,card,28.0,Caramel with Irish whiskey
2025-03-03,2025-03-03 21:58:37,card,25.0,Americano with milk
2025-03-05,2025-03-05 11:29:31,card,25.0,Irish whiskey
2025-03-05,2025-03-05 11:39:26,card,27.0,Vanilla coffee
2025-03-05,2025-03-05 12:34:30,cash,20.0,Espresso
2025-03-05,2025-03-05 13:12:49,cash,25.0,Americano
2025-03-05,2025-03-05 13:17:06,cash,27.0,Irish whiskey with milk
2025-03-05,2025-03-05 18:38:51,card,33.0,Latte
2025-03-05,2025-03-05 18:40:11,card,25.0,Americano with milk
2025-03-05,2025-03-05 18:44:49,card,25.0,Americano
2025-03-07,2025-03-07 12:36:33,card,27.0,Double ristretto
2025-03-07,2025-03-07 12:37:48,card,25.0,Americano with milk
2025-03-07,2025-03-07 14:19:54,card,27.0,Irish with chocolate
2025-03-07,2025-03-07 14:21:18,card,25.0,Irish whiskey
2025-03-07,2025-03-07 21:35:05,cash,27.0,Chocolate with milk
2025-03-08,2025-03-08 11:32:24,card,25.0,Americano with milk
2025-03-08,2025-03-08 16:35:18,card,20.0,Espresso
2025-03-08,2025-03-08 21:32:09,card,30.0,Hot milkshake
2025-03-08,2025-03-08 21:48:58,card,28.0,Caramel with chocolate
2025-03-09,2025-03-09 07:47:14,card,25.0,Americano
2025-03-09,2025-03-09 11:47:13,card,25.0,Americano
2025-03-09,2025-03-09 15:05:27,cash,25.0,Americano
2025-03-09,2025-03-09 15:07:45,card,30.0,Mochaccino
2025-03-09,2025-03-09 17:32:54,card,25.0,Americano
2025-03-09,2025-03-09 18:05:00,card,28.0,Vanilla with Irish whiskey
2025-03-09,2025-03-09 18:43:39,card,27.0,Irish whiskey with milk
2025-03-09,2025-03-09 19:19:21,cash,27.0,Chocolate with milk
2025-03-10,2025-03-10 12:11:09,cash,25.0,Americano
2025-03-10,2025-03-10 14:01:03,card,27.0,Irish whiskey with milk
2025-03-10,2025-03-10 15:25:38,card,27.0,Irish whiskey with milk
2025-03-10,2025-03-10 22:12:01,card,30.0,Cappuccino
2025-03-11,2025-03-11 07:52:45,card,30.0,Cappuccino
2025-03-11,2025-03-11 10:04:22,cash,27.0,Chocolate with milk
2025-03-11,2025-03-11 12:41:27,cash,28.0,Super chocolate
2025-03-11,2025-03-11 18:03:20,card,27.0,Irish with chocolate
2025-03-11,2025-03-11 18:04:42,card,27.0,Irish with chocolate
2025-03-12,2025-03-12 07:53:08,card,33.0,Latte
2025-03-12,2025-03-12 08:41:17,card,25.0,Americano
2025-03-12,2025-03-12 16:56:27,card,25.0,Americano with milk
2025-03-12,2025-03-12 16:58:14,card,28.0,Double Irish whiskey
2025-03-12,2025-03-12 18:50:47,card,25.0,Americano with milk
2025-03-12,2025-03-12 18:52:44,card,25.0,Americano with milk
2025-03-12,2025-03-12 21:37:51,card,27.0,Irish whiskey with milk
2025-03-12,2025-03-12 21:39:14,card,27.0,Irish whiskey with milk
2025-03-14,2025-03-14 12:31:32,card,25.0,Americano with milk
2025-03-14,2025-03-14 13:46:07,card,28.0,Double Irish whiskey
2025-03-14,2025-03-14 15:59:44,card,33.0,Latte
2025-03-14,2025-03-14 21:27:31,card,27.0,Irish whiskey with milk
2025-03-15,2025-03-15 13:12:26,card,15.0,Tea
2025-03-15,2025-03-15 13:15:33,card,20.0,Espresso
2025-03-15,2025-03-15 13:37:40,card,25.0,Irish whiskey
2025-03-15,2025-03-15 13:39:02,card,25.0,Irish whiskey
2025-03-15,2025-03-15 14:56:24,card,27.0,Irish whiskey with milk
2025-03-15,2025-03-15 14:57:48,card,27.0,Chocolate with milk
2025-03-15,2025-03-15 15:48:00,card,28.0,Caramel with Irish whiskey
2025-03-15,2025-03-15 19:08:45,card,25.0,Irish whiskey
2025-03-15,2025-03-15 19:10:04,card,25.0,Americano with milk
2025-03-15,2025-03-15 21:02:14,card,33.0,Latte
2025-03-15,2025-03-15 21:58:17,card,30.0,Cappuccino
2025-03-16,2025-03-16 13:50:06,card,25.0,Americano with milk
2025-03-16,2025-03-16 14:45:25,card,25.0,Americano with milk
2025-03-16,2025-03-16 15:04:02,cash,25.0,Americano with milk
2025-03-16,2025-03-16 16:01:45,card,29.0,Coffee with Irish whiskey
2025-03-17,2025-03-17 08:01:14,card,29.0,Coffee with Irish whiskey
2025-03-17,2025-03-17 11:03:49,card,25.0,Irish whiskey
2025-03-17,2025-03-17 16:44:56,card,33.0,Latte
2025-03-17,2025-03-17 17:33:56,card,29.0,Coffee with Irish whiskey
2025-03-17,2025-03-17 18:33:37,card,29.0,Coffee with Irish whiskey
2025-03-18,2025-03-18 08:25:07,card,29.0,Coffee with Irish whiskey
2025-03-18,2025-03-18 15:02:02,cash,28.0,Double Irish whiskey
2025-03-18,2025-03-18 17:44:32,cash,20.0,Espresso
2025-03-18,2025-03-18 17:47:22,card,25.0,Irish whiskey
2025-03-18,2025-03-18 19:35:21,card,30.0,Chocolate with coffee
2025-03-18,2025-03-18 19:36:32,card,30.0,Chocolate with coffee
2025-03-19,2025-03-19 16:56:15,card,25.0,Irish whiskey
2025-03-19,2025-03-19 17:38:00,card,27.0,Chocolate with milk
2025-03-19,2025-03-19 17:42:13,cash,30.0,Mochaccino
2025-03-19,2025-03-19 17:44:09,cash,33.0,Latte
2025-03-19,2025-03-19 19:42:58,cash,25.0,Double chocolate
2025-03-20,2025-03-20 08:10:49,card,25.0,Irish whiskey
2025-03-20,2025-03-20 11:54:23,card,33.0,Latte
2025-03-20,2025-03-20 17:22:35,cash,30.0,Chocolate with coffee
2025-03-21,2025-03-21 09:04:53,card,25.0,Irish whiskey
2025-03-21,2025-03-21 19:37:46,card,27.0,Chocolate with milk
2025-03-21,2025-03-21 19:39:07,card,28.0,Super chocolate
2025-03-21,2025-03-21 21:47:03,card,25.0,Americano with milk
2025-03-22,2025-03-22 10:54:05,card,27.0,Irish whiskey with milk
2025-03-22,2025-03-22 10:55:29,card,27.0,Irish with chocolate
2025-03-22,2025-03-22 11:00:25,card,25.0,Irish whiskey
2025-03-22,2025-03-22 16:59:05,card,15.0,Tea
2025-03-22,2025-03-22 17:07:45,cash,25.0,Irish whiskey
2025-03-22,2025-03-22 17:44:51,card,28.0,Caramel with Irish whiskey
2025-03-22,2025-03-22 17:58:01,cash,22.0,Caramel
2025-03-22,2025-03-22 22:19:59,card,25.0,Americano with milk
2025-03-22,2025-03-22 22:21:21,card,25.0,Americano with milk
2025-03-22,2025-03-22 22:23:39,card,29.0,Coffee with Irish whiskey
2025-03-23,2025-03-23 10:16:44,cash,25.0,Irish whiskey
2025-03-23,2025-03-23 10:25:48,cash,25.0,Americano with milk
2025-03-23,2025-03-23 10:25:48,cash,25.0,Americano with milk
2025-03-23,2025-03-23 14:55:46,cash,30.0,Cappuccino
2025-03-23,2025-03-23 15:15:36,card,25.0,Irish whiskey
2025-03-23,2025-03-23 17:59:25,card,28.0,Super chocolate
2025-03-23,2025-03-23 18:01:33,card,28.0,Vanilla with Irish whiskey
2025-03-23,2025-03-23 21:23:11,card,29.0,Coffee with Irish whiskey
