Customer_ID,Age,Gender,Area,Email,Mobile,Logins 4 weeks,Logins 6 months,Sales 4 weeks,Sales 6 months,Sales total
ID141130,58,male,urban,premium,never,0,0,0,0,0
ID141131,55,female,urban,free,never,9,9,0,0,0
ID141132,37,female,rural,free,yes,0,3,0,207,207
ID141133,32,male,urban,free,always,2,2,134,134,134
ID141134,38,male,rural,free,yes,0,0,0,0,0
ID141135,36,male,urban,free,yes,0,0,0,0,0
ID141136,31,female,urban,free,never,7,7,0,0,0
ID141137,67,male,urban,free,never,0,0,0,0,0
ID141138,44,male,rural,premium,always,0,0,0,0,0
ID141139,85,male,rural,free,yes,0,0,0,0,124
ID141140,50,male,rural,free,never,8,8,0,0,0
ID141141,41,female,urban,free,never,0,0,0,0,22
ID141142,29,female,urban,free,never,0,0,0,0,0
ID141143,26,female,urban,free,always,4,4,0,0,0
ID141144,26,female,rural,free,never,0,4,0,139,139
ID141145,52,male,urban,free,never,2,2,0,0,0
ID141146,56,male,urban,free,never,0,2,0,0,0
ID141147,48,female,rural,free,never,0,0,0,0,0
ID141148,42,female,urban,premium,never,7,9,0,0,0
ID141149,37,male,urban,free,never,0,7,0,0,0
ID141150,38,female,urban,free,never,0,0,0,0,0
ID141151,47,female,urban,premium,never,0,1,0,0,0
ID141152,34,female,urban,premium,never,11,11,72,72,72
ID141153,18,male,urban,free,never,2,2,0,0,0
ID141154,26,female,rural,free,never,0,0,0,0,0
ID141155,33,female,urban,free,yes,0,2,0,0,0
ID141156,55,male,urban,premium,yes,0,0,0,0,0
ID141157,74,female,rural,free,yes,0,0,0,0,27
ID141158,56,male,urban,premium,never,2,2,0,0,204
ID141159,52,female,urban,free,never,18,18,180,180,233
ID141160,50,female,urban,free,never,0,0,0,0,0
ID141161,27,male,urban,free,never,0,2,0,128,243
ID141162,50,male,urban,free,never,0,6,0,0,0
ID141163,53,male,rural,free,never,0,0,0,0,0
ID141164,47,male,urban,free,never,0,0,0,0,0
ID141165,53,male,urban,free,yes,0,0,0,0,0
ID141166,31,female,urban,free,yes,0,8,0,55,55
ID141167,42,female,urban,premium,never,0,0,0,0,0
ID141168,49,male,urban,free,never,0,0,0,0,0
ID141169,25,female,urban,free,never,0,6,0,0,0
ID141170,47,male,urban,free,yes,0,6,0,0,0
ID141171,30,male,urban,free,yes,0,0,0,0,0
ID141172,22,male,urban,free,yes,0,6,0,0,0
ID141173,81,male,rural,premium,never,7,42,0,0,111
ID141174,42,female,urban,free,yes,0,1,0,0,0
ID141175,40,male,rural,free,never,0,11,0,0,0
ID141176,84,male,urban,free,always,0,0,0,0,229
ID141177,79,male,rural,free,always,13,13,0,0,182
ID141178,67,female,rural,free,yes,0,1,0,0,0
ID141179,56,female,urban,free,yes,9,9,0,0,0
ID141180,51,female,urban,free,yes,0,0,0,0,0
ID141181,28,male,rural,premium,yes,0,0,0,0,0
ID141182,68,male,urban,free,never,0,0,0,0,0
ID141183,27,male,rural,free,yes,0,0,0,0,0
ID141184,39,male,rural,free,never,0,2,0,0,0
ID141185,20,female,urban,free,always,0,5,0,0,0
ID141186,34,female,urban,free,never,0,1,0,319,319
ID141187,58,female,urban,free,never,0,4,0,0,0
ID141188,31,female,rural,free,never,0,0,0,0,0
ID141189,68,male,urban,free,never,0,0,0,0,0
ID141190,46,male,urban,free,yes,8,8,0,0,0
ID141191,60,female,urban,premium,never,8,8,265,265,327
ID141192,47,male,urban,free,never,10,10,0,0,0
ID141193,39,female,rural,free,never,0,0,0,0,0
ID141194,40,male,urban,premium,yes,0,0,0,0,0
ID141195,51,male,rural,free,yes,0,0,0,0,0
ID141196,47,female,rural,free,never,2,2,169,169,169
ID141197,65,female,urban,premium,yes,0,7,0,0,0
ID141198,34,male,urban,free,never,0,0,0,0,0
ID141199,49,male,rural,premium,never,0,0,0,0,90
ID141200,50,male,urban,free,never,0,1,0,0,0
ID141201,27,female,urban,free,never,0,6,0,34,34
ID141202,54,male,rural,free,yes,0,0,0,0,0
ID141203,37,male,urban,free,never,0,11,0,0,0
ID141204,49,female,urban,premium,never,0,3,0,177,177
ID141205,67,male,urban,free,never,0,0,0,0,0
ID141206,47,male,urban,free,never,0,1,0,0,0
ID141207,40,male,urban,free,never,0,5,0,0,0
ID141208,54,male,urban,premium,never,6,8,0,0,0
ID141209,42,male,urban,premium,yes,0,3,0,152,152
ID141210,64,male,urban,free,always,0,0,0,0,0
ID141211,21,male,urban,premium,yes,0,0,0,0,0
ID141212,83,male,urban,free,never,0,0,0,0,0
ID141213,79,female,urban,free,never,0,2,0,0,0
ID141214,44,female,urban,free,never,0,0,0,0,0
ID141215,68,male,urban,premium,never,2,2,0,0,0
ID141216,82,male,urban,free,yes,14,14,0,0,0
ID141217,29,male,urban,premium,never,0,4,0,0,0
ID141218,21,male,rural,free,yes,0,2,0,0,0
ID141219,42,female,rural,premium,never,3,3,83,83,83
ID141220,60,female,urban,free,never,0,5,0,0,0
ID141221,29,female,urban,free,yes,0,4,0,52,52
ID141222,49,female,urban,free,never,8,8,0,0,0
ID141223,50,female,rural,free,never,0,0,0,0,0
ID141224,36,female,urban,premium,never,0,0,0,0,0
ID141225,41,male,urban,free,never,0,0,0,0,0
ID141226,37,male,urban,free,never,2,5,0,0,0
ID141227,50,male,urban,free,yes,2,10,0,0,46
ID141228,46,female,urban,free,yes,0,8,0,0,0
ID141229,67,male,urban,free,never,0,0,0,0,0
ID141230,28,male,urban,free,never,0,0,0,0,0
ID141231,20,male,urban,premium,yes,0,0,0,0,0
ID141232,45,male,urban,premium,yes,1,1,0,0,0
ID141233,36,female,urban,premium,always,0,0,0,0,0
ID141234,67,male,urban,free,yes,0,0,0,0,0
ID141235,35,male,urban,premium,yes,0,0,0,0,0
ID141236,27,male,rural,free,never,0,1,0,0,19
ID141237,64,male,rural,free,never,0,0,0,0,0
ID141238,34,female,urban,free,never,1,1,47,47,47
ID141239,49,male,urban,free,never,12,12,0,0,0
ID141240,24,female,rural,premium,never,2,2,0,0,0
ID141241,59,male,urban,free,never,0,0,0,0,0
ID141242,43,male,urban,premium,yes,0,0,0,0,0
ID141243,72,female,rural,premium,never,4,8,0,0,158
ID141244,36,female,rural,premium,never,10,10,0,0,0
ID141245,45,male,rural,premium,yes,6,6,0,0,0
ID141246,55,female,urban,free,never,0,0,0,0,0
ID141247,47,male,urban,free,never,0,4,0,0,134
ID141248,56,female,urban,free,never,0,0,0,0,12
ID141249,71,male,urban,free,yes,5,5,0,0,0
ID141250,21,male,urban,premium,never,8,8,0,0,47
ID141251,78,male,rural,free,yes,0,0,0,0,0
ID141252,50,male,urban,free,never,0,3,0,49,49
ID141253,58,male,urban,premium,never,0,0,0,0,0
ID141254,29,female,urban,premium,yes,0,4,0,0,0
ID141255,41,male,urban,free,never,0,0,0,0,0
ID141256,35,female,urban,free,never,0,0,0,0,0
ID141257,22,female,urban,premium,never,0,4,0,0,0
ID141258,51,female,urban,free,never,0,0,0,0,0
ID141259,42,female,urban,free,never,0,1,0,259,259
ID141260,58,male,rural,free,never,0,0,0,0,0
ID141261,19,male,urban,premium,never,3,3,0,0,0
ID141262,51,male,urban,free,never,0,0,0,0,139
ID141263,28,male,urban,premium,yes,0,0,0,0,0
ID141264,18,female,urban,premium,never,0,1,0,0,0
ID141265,50,female,rural,free,yes,0,2,0,0,0
ID141266,22,female,urban,free,never,0,6,0,0,227
ID141267,75,female,rural,free,always,0,0,0,0,65
ID141268,28,male,rural,premium,yes,0,2,0,0,86
ID141269,34,female,urban,premium,never,0,0,0,0,0
ID141270,20,male,urban,free,never,0,9,0,0,0
ID141271,53,female,urban,premium,yes,0,0,0,0,139
ID141272,41,female,urban,free,never,0,0,0,0,0
ID141273,49,male,urban,free,never,0,0,0,0,55
ID141274,42,female,rural,free,always,0,6,0,172,172
ID141275,77,female,urban,premium,yes,6,6,0,0,0
ID141276,46,female,urban,premium,never,17,20,0,0,0
ID141277,70,male,urban,free,never,14,28,0,0,0
ID141278,52,male,urban,premium,yes,0,9,0,0,0
ID141279,86,female,rural,free,never,0,0,0,0,17
ID141280,71,male,urban,free,never,0,5,0,76,76
ID141281,18,male,urban,free,never,0,1,0,0,0
ID141282,62,female,rural,free,yes,0,0,0,0,0
ID141283,22,female,urban,free,always,8,8,0,0,0
ID141284,48,male,urban,free,yes,0,6,0,0,0
ID141285,45,male,urban,free,never,4,4,0,0,0
ID141286,36,male,urban,premium,yes,0,0,0,0,0
ID141287,26,male,urban,premium,never,0,4,0,0,0
ID141288,44,male,rural,free,never,11,19,0,135,135
ID141289,45,male,urban,premium,yes,4,4,0,0,0
ID141290,71,male,urban,free,never,0,5,0,0,0
ID141291,43,female,urban,premium,never,0,0,0,0,0
ID141292,64,male,urban,free,never,0,2,0,12,12
ID141293,52,female,urban,free,never,0,0,0,0,0
ID141294,80,female,urban,free,yes,14,14,0,0,55
ID141295,25,male,urban,free,never,0,0,0,0,0
ID141296,55,male,urban,free,yes,0,0,0,0,0
ID141297,30,female,rural,free,yes,0,0,0,0,0
ID141298,57,female,rural,free,yes,0,5,0,119,119
ID141299,72,female,urban,free,never,0,5,0,65,65
ID141300,19,male,urban,free,never,0,0,0,0,0
ID141301,61,male,urban,free,never,0,5,0,0,104
ID141302,20,female,urban,free,yes,0,2,0,11,11
ID141303,69,male,rural,premium,never,5,5,0,0,0
ID141304,23,male,urban,premium,yes,0,0,0,0,0
ID141305,20,female,rural,free,never,0,6,0,214,214
ID141306,46,male,urban,free,never,0,0,0,0,0
ID141307,51,male,urban,free,always,0,7,0,15,15
ID141308,25,male,rural,free,yes,0,0,0,0,0
ID141309,47,male,urban,premium,always,0,0,0,0,258
ID141310,55,female,rural,premium,yes,5,5,0,0,0
ID141311,59,female,rural,free,never,0,0,0,0,0
ID141312,31,female,urban,free,never,0,0,0,0,0
ID141313,48,male,urban,free,yes,0,8,0,81,81
ID141314,44,female,rural,free,yes,3,3,0,0,0
ID141315,66,female,rural,free,never,0,0,0,0,0
ID141316,20,male,urban,premium,never,0,0,0,0,0
ID141317,66,male,urban,free,yes,0,0,0,0,0
ID141318,76,male,urban,free,never,10,10,0,0,0
ID141319,70,male,urban,free,never,0,0,0,0,0
ID141320,56,male,urban,free,never,0,0,0,0,0
ID141321,73,male,rural,free,never,4,4,7,7,7
ID141322,28,female,rural,premium,yes,0,0,0,0,0
ID141323,32,female,urban,free,yes,0,0,0,0,0
ID141324,42,male,urban,premium,yes,1,4,0,0,0
ID141325,33,male,urban,free,never,0,0,0,0,0
ID141326,43,male,urban,free,never,10,10,0,0,0
ID141327,30,male,urban,free,never,0,10,0,196,196
ID141328,38,male,rural,free,yes,0,0,0,0,0
ID141329,74,female,urban,premium,never,0,4,0,0,0
ID141330,76,female,urban,free,never,0,0,0,0,0
ID141331,18,male,urban,free,yes,0,0,0,0,0
ID141332,73,female,urban,premium,never,0,7,0,0,0
ID141333,52,male,urban,free,yes,0,0,0,0,0
ID141334,55,female,urban,free,never,0,0,0,0,0
ID141335,26,female,urban,premium,yes,0,0,0,0,0
ID141336,75,male,urban,premium,always,0,0,0,0,0
ID141337,44,male,urban,free,never,12,12,0,0,235
ID141338,71,female,rural,free,never,0,0,0,0,0
ID141339,48,female,urban,free,never,0,0,0,0,0
ID141340,51,female,urban,free,never,0,0,0,0,0
ID141341,83,male,urban,free,never,7,7,0,0,0
ID141342,79,male,rural,free,never,0,10,0,0,203
ID141343,31,male,urban,free,yes,9,19,0,0,81
ID141344,74,male,rural,free,never,0,9,0,0,0
ID141345,29,male,urban,free,never,0,3,0,117,117
ID141346,19,male,rural,free,never,0,0,0,0,0
ID141347,75,female,urban,premium,never,0,2,0,0,0
ID141348,59,female,rural,premium,never,0,0,0,0,0
ID141349,61,female,rural,free,yes,0,3,0,0,0
ID141350,64,male,urban,free,yes,0,0,0,0,0
ID141351,50,male,urban,free,never,0,0,0,0,0
ID141352,53,female,rural,free,never,0,0,0,0,0
ID141353,71,male,urban,free,yes,0,0,0,0,0
ID141354,51,female,urban,free,yes,0,4,0,0,0
ID141355,52,female,urban,premium,yes,0,0,0,0,0
ID141356,31,female,urban,free,never,0,4,0,0,0
ID141357,26,female,urban,free,yes,0,13,0,58,58
ID141358,90,male,urban,free,yes,5,5,0,0,0
ID141359,25,male,urban,free,never,0,3,0,0,0
ID141360,57,female,urban,free,yes,7,7,0,0,0
ID141361,69,male,urban,free,never,0,0,0,0,40
ID141362,24,male,urban,premium,never,0,0,0,0,0
ID141363,35,male,urban,premium,never,0,0,0,0,99
ID141364,23,male,urban,premium,never,0,5,0,18,18
ID141365,51,male,urban,free,always,2,2,0,0,0
ID141366,56,female,rural,free,never,0,3,0,0,0
ID141367,57,male,rural,premium,yes,0,0,0,0,0
ID141368,38,female,urban,premium,never,0,4,0,0,0
ID141369,28,female,urban,free,never,0,9,0,0,0
ID141370,53,male,urban,free,yes,0,0,0,0,0
ID141371,81,male,urban,free,never,5,5,0,0,0
ID141372,29,male,urban,free,yes,11,11,0,0,0
ID141373,61,male,urban,premium,yes,0,0,0,0,0
ID141374,91,female,rural,free,never,0,0,0,0,0
ID141375,37,female,urban,premium,never,0,2,0,0,0
ID141376,37,male,urban,free,yes,0,0,0,0,0
ID141377,55,male,urban,free,never,0,3,0,126,126
ID141378,39,male,rural,free,never,0,0,0,0,0
ID141379,66,female,urban,free,never,0,2,0,0,0
ID141380,42,female,urban,free,never,0,2,0,40,40
ID141381,36,male,urban,free,never,0,3,0,0,0
ID141382,17,male,urban,premium,yes,0,4,0,0,0
ID141383,42,male,rural,free,yes,0,2,0,0,35
ID141384,44,male,rural,free,never,0,3,0,0,0
ID141385,69,male,urban,free,yes,8,8,1,1,1
ID141386,33,female,urban,free,never,3,3,0,0,0
ID141387,56,male,urban,free,yes,0,3,0,0,0
ID141388,46,male,urban,free,never,16,16,0,0,0
ID141389,51,male,urban,premium,never,0,0,0,0,0
ID141390,20,male,urban,free,yes,0,0,0,0,0
ID141391,75,male,urban,premium,yes,0,0,0,0,138
ID141392,39,male,urban,premium,never,4,4,0,0,129
ID141393,56,male,rural,free,yes,0,3,0,0,0
ID141394,54,male,urban,premium,yes,0,0,0,0,0
ID141395,17,female,urban,free,yes,5,13,3,3,3
ID141396,56,male,urban,free,yes,0,0,0,0,0
ID141397,52,male,urban,free,never,0,0,0,0,0
ID141398,52,female,urban,free,never,0,0,0,0,0
ID141399,47,male,urban,free,yes,10,10,0,0,78
ID141400,19,male,rural,free,never,0,2,0,271,271
ID141401,46,female,urban,free,yes,0,1,0,0,0
ID141402,44,female,urban,premium,yes,0,1,0,165,295
ID141403,45,female,rural,free,yes,0,4,0,160,160
ID141404,38,male,urban,premium,never,0,0,0,0,0
ID141405,40,male,urban,free,never,0,1,0,0,0
ID141406,19,female,urban,free,never,0,0,0,0,0
ID141407,66,male,urban,free,yes,0,1,0,229,229
ID141408,65,male,urban,free,never,0,0,0,0,0
ID141409,59,female,urban,free,never,0,0,0,0,0
ID141410,47,male,rural,premium,never,0,0,0,0,0
ID141411,52,male,urban,free,never,0,1,0,0,0
ID141412,23,female,urban,free,yes,8,8,0,0,0
ID141413,56,female,urban,free,yes,0,0,0,0,0
ID141414,59,female,rural,free,yes,0,0,0,0,0
ID141415,49,male,urban,premium,never,0,0,0,0,0
ID141416,41,male,rural,premium,yes,11,11,0,0,0
ID141417,32,male,urban,free,yes,0,3,0,83,83
ID141418,62,male,rural,premium,never,0,0,0,0,0
ID141419,17,female,urban,free,never,0,5,0,170,170
ID141420,30,female,urban,free,never,0,0,0,0,0
ID141421,25,female,urban,free,never,0,0,0,0,0
ID141422,52,female,urban,free,never,0,5,0,0,0
ID141423,61,female,rural,free,never,0,0,0,0,0
ID141424,43,male,rural,free,never,0,0,0,0,0
ID141425,31,male,urban,free,yes,0,0,0,0,0
ID141426,40,female,urban,free,never,5,5,0,0,99
ID141427,17,female,urban,free,never,5,30,56,75,337
ID141428,19,female,urban,free,never,0,0,0,0,0
ID141429,35,male,urban,premium,yes,6,6,0,0,0
ID141430,52,male,urban,free,never,0,3,0,0,0
ID141431,44,female,urban,premium,never,0,0,0,0,0
ID141432,26,female,urban,free,never,15,15,180,180,180
ID141433,32,female,urban,free,yes,0,0,0,0,0
ID141434,52,female,rural,free,yes,0,0,0,0,0
ID141435,26,female,urban,free,never,0,1,0,0,0
ID141436,65,female,urban,free,yes,0,0,0,0,0
ID141437,71,female,rural,free,never,0,7,0,256,341
ID141438,79,male,urban,free,never,0,4,0,0,0
ID141439,59,female,urban,free,yes,6,6,0,0,0
ID141440,50,male,urban,free,never,13,33,0,150,150
ID141441,39,female,urban,free,yes,0,0,0,0,0
ID141442,23,male,urban,free,never,0,0,0,0,71
ID141443,49,male,urban,free,never,0,0,0,0,0
ID141444,21,female,urban,premium,never,14,17,176,176,176
ID141445,59,female,rural,premium,never,0,0,0,0,0
ID141446,20,female,urban,free,never,0,7,0,0,0
ID141447,17,female,urban,free,yes,0,5,0,0,253
ID141448,50,female,urban,free,never,0,5,0,0,0
ID141449,36,female,urban,free,never,0,0,0,0,186
ID141450,76,male,urban,free,never,0,4,0,0,0
ID141451,28,male,rural,free,yes,0,0,0,0,0
ID141452,21,male,rural,premium,never,19,19,0,0,0
ID141453,18,male,urban,free,never,0,0,0,0,217
ID141454,23,female,urban,free,never,0,0,0,0,0
ID141455,43,male,urban,premium,never,0,0,0,0,0
ID141456,59,female,urban,free,never,0,7,0,17,146
ID141457,35,male,rural,premium,yes,10,10,0,0,147
ID141458,18,female,urban,free,never,13,13,0,0,0
ID141459,53,male,urban,free,never,0,3,0,0,0
ID141460,34,male,urban,free,never,0,0,0,0,0
ID141461,19,male,rural,free,yes,0,7,0,0,0
ID141462,49,female,urban,premium,never,5,5,115,115,303
ID141463,22,male,rural,free,yes,0,2,0,0,0
ID141464,80,male,urban,free,yes,0,0,0,0,0
ID141465,39,male,urban,free,never,0,5,0,166,166
ID141466,39,male,urban,free,never,0,0,0,0,19
ID141467,35,female,rural,free,never,0,0,0,0,43
ID141468,50,female,urban,free,never,0,0,0,0,125
ID141469,17,male,urban,free,always,0,2,0,0,0
ID141470,22,male,urban,free,never,0,3,0,0,92
ID141471,43,male,urban,free,yes,0,2,0,0,0
ID141472,86,female,urban,free,yes,0,0,0,0,0
ID141473,31,female,urban,free,never,0,0,0,0,0
ID141474,35,female,urban,premium,always,0,0,0,0,0
ID141475,34,male,urban,free,never,0,0,0,0,0
ID141476,23,male,rural,premium,never,0,6,0,0,0
ID141477,55,male,urban,free,never,0,0,0,0,0
ID141478,29,male,urban,free,yes,2,2,0,0,0
ID141479,72,female,urban,free,yes,7,7,0,0,72
ID141480,63,male,urban,free,yes,14,14,247,247,247
ID141481,58,male,urban,premium,never,0,0,0,0,131
ID141482,44,male,urban,free,never,14,14,0,0,0
ID141483,46,male,urban,free,never,0,4,0,0,0
ID141484,67,female,rural,premium,yes,0,2,0,0,0
ID141485,73,female,urban,free,never,0,0,0,0,0
ID141486,69,female,urban,free,yes,0,1,0,0,0
ID141487,31,female,urban,free,never,0,4,0,16,16
ID141488,41,male,urban,free,never,0,0,0,0,0
ID141489,36,female,urban,free,never,0,1,0,0,0
ID141490,55,male,urban,free,never,9,9,0,0,0
ID141491,29,male,urban,free,never,0,0,0,0,0
ID141492,34,female,rural,free,yes,0,0,0,0,0
ID141493,74,female,urban,free,yes,0,0,0,0,0
ID141494,41,male,urban,free,never,0,0,0,0,108
ID141495,64,male,rural,free,never,0,0,0,0,0
ID141496,68,male,urban,free,never,0,0,0,0,0
ID141497,84,female,urban,free,yes,0,0,0,0,0
ID141498,26,female,urban,free,yes,0,2,0,0,0
ID141499,50,male,urban,free,never,0,0,0,0,0
ID141500,32,male,urban,free,never,0,0,0,0,0
ID141501,75,male,urban,free,yes,5,5,0,0,0
ID141502,65,female,urban,free,never,0,0,0,0,0
ID141503,71,female,urban,free,never,3,3,132,132,233
ID141504,18,male,urban,free,never,0,0,0,0,0
ID141505,79,female,urban,free,yes,0,0,0,0,11
ID141506,67,female,urban,free,yes,0,5,0,236,236
ID141507,89,male,rural,free,never,0,0,0,0,0
ID141508,22,male,urban,free,yes,0,7,0,0,0
ID141509,36,female,urban,free,yes,0,0,0,0,0
ID141510,51,male,urban,free,never,0,0,0,0,90
ID141511,24,male,urban,free,never,0,0,0,0,72
ID141512,43,male,urban,free,yes,0,11,0,0,0
ID141513,44,female,urban,free,never,0,7,0,197,197
ID141514,22,female,urban,free,yes,0,0,0,0,0
ID141515,30,male,urban,premium,never,0,0,0,0,0
ID141516,35,male,urban,free,never,1,1,0,0,0
ID141517,76,female,urban,free,never,0,3,0,0,0
ID141518,21,male,urban,free,never,0,5,0,0,0
ID141519,64,male,urban,free,never,15,15,0,0,0
ID141520,37,female,urban,free,never,7,7,0,0,0
ID141521,32,male,urban,free,yes,0,0,0,0,0
