"Insulation";"Temperature";"Num_Occupants";"Avg_Age";"Home_Size"
9.0;67.0;3.0;69.6;7.0
4.0;66.0;2.0;69.2;7.0
10.0;57.0;5.0;46.9;1.0
9.0;49.0;8.0;59.0;7.0
7.0;42.0;8.0;60.1;8.0
3.0;40.0;10.0;44.6;5.0
4.0;73.0;9.0;42.3;8.0
5.0;81.0;6.0;52.6;6.0
7.0;73.0;4.0;36.5;2.0
8.0;77.0;8.0;24.9;2.0
3.0;60.0;1.0;30.3;1.0
6.0;52.0;7.0;57.1;2.0
9.0;64.0;9.0;45.2;2.0
10.0;49.0;9.0;49.5;7.0
6.0;66.0;7.0;53.7;7.0
3.0;67.0;2.0;32.5;3.0
5.0;71.0;1.0;63.2;7.0
10.0;75.0;7.0;24.1;5.0
2.0;46.0;10.0;27.8;1.0
2.0;40.0;9.0;46.5;6.0
8.0;50.0;2.0;19.9;4.0
5.0;49.0;8.0;57.9;7.0
9.0;50.0;10.0;44.6;4.0
9.0;53.0;6.0;53.0;5.0
3.0;44.0;2.0;54.2;5.0
2.0;49.0;9.0;62.0;2.0
2.0;60.0;1.0;17.5;6.0
6.0;80.0;3.0;39.0;7.0
2.0;63.0;9.0;16.5;5.0
9.0;58.0;4.0;31.9;2.0
2.0;84.0;9.0;32.9;8.0
3.0;74.0;1.0;22.5;4.0
2.0;73.0;4.0;36.5;7.0
6.0;81.0;5.0;61.1;7.0
6.0;78.0;3.0;64.4;3.0
2.0;77.0;4.0;16.3;6.0
4.0;39.0;10.0;45.1;7.0
4.0;47.0;5.0;18.6;1.0
4.0;40.0;3.0;59.5;1.0
4.0;63.0;8.0;17.4;7.0
5.0;61.0;7.0;45.4;7.0
9.0;88.0;2.0;45.5;3.0
8.0;63.0;9.0;63.9;8.0
2.0;79.0;10.0;22.1;6.0
8.0;62.0;5.0;47.1;7.0
6.0;61.0;6.0;19.2;6.0
9.0;55.0;10.0;58.2;7.0
7.0;87.0;8.0;57.1;3.0
7.0;86.0;4.0;16.7;7.0
4.0;51.0;4.0;15.7;2.0
2.0;67.0;2.0;58.0;3.0
9.0;43.0;9.0;54.4;1.0
8.0;42.0;5.0;63.3;6.0
10.0;76.0;7.0;31.2;8.0
2.0;71.0;6.0;51.8;1.0
2.0;89.0;10.0;55.3;6.0
5.0;76.0;7.0;48.1;2.0
4.0;51.0;5.0;55.4;2.0
5.0;61.0;6.0;31.4;6.0
6.0;79.0;1.0;25.9;5.0
3.0;49.0;4.0;42.2;3.0
9.0;46.0;10.0;69.0;1.0
2.0;59.0;1.0;72.8;4.0
10.0;53.0;5.0;40.1;4.0
3.0;68.0;4.0;16.8;8.0
7.0;40.0;10.0;15.4;5.0
10.0;69.0;9.0;46.6;6.0
10.0;84.0;4.0;23.9;1.0
3.0;68.0;9.0;54.0;4.0
5.0;80.0;6.0;30.8;8.0
2.0;71.0;6.0;25.5;8.0
7.0;81.0;4.0;68.3;6.0
9.0;60.0;1.0;27.1;6.0
4.0;44.0;7.0;70.4;2.0
9.0;57.0;2.0;32.5;7.0
2.0;41.0;6.0;29.8;8.0
4.0;82.0;10.0;64.7;7.0
8.0;68.0;10.0;57.7;6.0
9.0;75.0;9.0;63.9;8.0
7.0;46.0;8.0;56.4;7.0
10.0;90.0;1.0;33.0;2.0
6.0;71.0;2.0;66.4;7.0
3.0;42.0;9.0;23.7;7.0
7.0;43.0;2.0;37.3;1.0
9.0;41.0;10.0;30.9;1.0
9.0;48.0;2.0;55.9;3.0
4.0;48.0;4.0;59.3;4.0
3.0;90.0;10.0;64.7;8.0
2.0;81.0;5.0;24.6;8.0
7.0;68.0;8.0;40.2;6.0
5.0;90.0;3.0;46.9;7.0
8.0;71.0;6.0;69.4;5.0
8.0;39.0;1.0;66.2;6.0
10.0;80.0;9.0;42.0;4.0
2.0;73.0;4.0;50.4;8.0
5.0;63.0;8.0;21.7;2.0
8.0;68.0;7.0;18.2;8.0
10.0;68.0;8.0;29.6;1.0
9.0;47.0;3.0;16.3;1.0
10.0;69.0;10.0;51.1;8.0
10.0;67.0;7.0;36.0;6.0
9.0;65.0;5.0;72.0;4.0
4.0;38.0;7.0;43.3;5.0
8.0;80.0;8.0;59.7;1.0
10.0;85.0;3.0;63.5;1.0
2.0;61.0;6.0;41.8;4.0
5.0;85.0;8.0;34.6;7.0
7.0;61.0;6.0;63.2;3.0
9.0;57.0;1.0;51.6;5.0
3.0;83.0;1.0;40.2;1.0
6.0;89.0;1.0;64.3;7.0
7.0;74.0;2.0;48.1;6.0
4.0;73.0;8.0;68.1;1.0
2.0;57.0;10.0;36.3;7.0
4.0;58.0;4.0;60.6;2.0
9.0;58.0;8.0;46.9;8.0
8.0;83.0;1.0;33.7;4.0
9.0;90.0;4.0;17.1;6.0
4.0;51.0;3.0;52.7;8.0
3.0;63.0;7.0;32.0;3.0
6.0;80.0;1.0;33.3;4.0
3.0;88.0;6.0;28.3;7.0
8.0;85.0;3.0;19.2;7.0
4.0;54.0;10.0;64.9;6.0
10.0;51.0;5.0;45.8;7.0
8.0;41.0;8.0;43.1;4.0
9.0;77.0;3.0;58.6;1.0
4.0;90.0;9.0;20.7;8.0
5.0;77.0;8.0;55.3;5.0
9.0;41.0;10.0;64.2;8.0
10.0;55.0;7.0;16.9;7.0
7.0;75.0;3.0;70.2;3.0
7.0;52.0;9.0;27.6;7.0
4.0;38.0;1.0;43.7;8.0
5.0;80.0;5.0;58.5;7.0
9.0;49.0;4.0;63.8;3.0
4.0;38.0;8.0;36.8;7.0
9.0;38.0;10.0;47.1;6.0
6.0;42.0;1.0;61.4;2.0
6.0;76.0;8.0;62.9;2.0
2.0;65.0;2.0;28.8;7.0
4.0;38.0;1.0;44.0;1.0
2.0;56.0;10.0;52.4;3.0
4.0;51.0;6.0;40.9;5.0
10.0;45.0;2.0;71.2;2.0
3.0;86.0;2.0;69.7;4.0
8.0;80.0;8.0;39.4;6.0
7.0;74.0;1.0;32.7;6.0
9.0;87.0;5.0;29.1;6.0
3.0;55.0;2.0;57.9;1.0
8.0;39.0;7.0;62.1;8.0
3.0;66.0;5.0;70.4;2.0
8.0;47.0;2.0;68.6;6.0
4.0;87.0;1.0;17.0;2.0
9.0;47.0;4.0;31.9;7.0
10.0;67.0;9.0;15.6;1.0
2.0;49.0;9.0;55.1;3.0
3.0;82.0;1.0;45.0;8.0
9.0;52.0;10.0;46.5;5.0
7.0;88.0;8.0;37.8;7.0
3.0;76.0;6.0;29.7;1.0
9.0;89.0;3.0;48.5;5.0
4.0;87.0;6.0;52.6;3.0
4.0;61.0;6.0;46.3;7.0
9.0;78.0;9.0;17.5;5.0
5.0;60.0;4.0;45.2;5.0
3.0;54.0;1.0;36.5;7.0
7.0;52.0;2.0;69.1;2.0
9.0;39.0;8.0;15.9;6.0
9.0;87.0;9.0;63.2;4.0
9.0;57.0;2.0;31.4;8.0
10.0;61.0;9.0;16.1;1.0
7.0;73.0;2.0;66.1;1.0
4.0;51.0;9.0;21.5;5.0
4.0;55.0;8.0;40.7;6.0
7.0;89.0;5.0;65.0;3.0
8.0;65.0;5.0;63.0;4.0
4.0;79.0;4.0;66.6;8.0
4.0;65.0;2.0;15.1;3.0
2.0;70.0;9.0;64.4;6.0
4.0;45.0;3.0;25.9;6.0
8.0;74.0;7.0;69.6;4.0
10.0;86.0;7.0;57.8;4.0
3.0;50.0;10.0;60.0;2.0
3.0;65.0;7.0;41.4;6.0
7.0;52.0;10.0;55.3;6.0
10.0;80.0;2.0;45.0;6.0
7.0;64.0;8.0;63.0;6.0
7.0;50.0;2.0;72.6;8.0
6.0;64.0;4.0;31.6;8.0
3.0;79.0;2.0;47.2;1.0
9.0;71.0;1.0;60.7;3.0
10.0;49.0;10.0;42.4;8.0
2.0;58.0;10.0;15.9;4.0
5.0;72.0;6.0;46.4;2.0
10.0;73.0;2.0;37.3;5.0
2.0;53.0;6.0;37.4;7.0
5.0;84.0;4.0;54.5;3.0
2.0;75.0;5.0;55.2;8.0
7.0;80.0;5.0;34.1;8.0
5.0;62.0;1.0;63.9;3.0
3.0;79.0;3.0;23.7;7.0
9.0;43.0;7.0;49.1;5.0
9.0;46.0;1.0;56.1;4.0
4.0;75.0;7.0;46.2;6.0
8.0;85.0;9.0;67.1;8.0
9.0;88.0;4.0;34.8;4.0
8.0;73.0;1.0;61.0;1.0
8.0;53.0;10.0;51.2;8.0
5.0;56.0;6.0;44.5;6.0
9.0;65.0;2.0;16.8;7.0
3.0;49.0;10.0;54.3;4.0
3.0;74.0;5.0;47.2;8.0
7.0;83.0;8.0;17.2;8.0
4.0;87.0;7.0;48.2;1.0
8.0;53.0;6.0;68.9;4.0
5.0;89.0;8.0;52.4;5.0
4.0;83.0;7.0;49.2;3.0
4.0;53.0;10.0;20.9;8.0
3.0;71.0;9.0;32.2;8.0
7.0;90.0;4.0;70.0;7.0
2.0;53.0;10.0;35.6;3.0
10.0;67.0;7.0;26.4;7.0
10.0;53.0;3.0;23.9;6.0
2.0;55.0;5.0;29.1;4.0
3.0;84.0;8.0;47.5;1.0
4.0;68.0;4.0;26.4;5.0
6.0;79.0;4.0;52.1;6.0
6.0;48.0;7.0;38.4;1.0
7.0;80.0;4.0;44.1;7.0
10.0;86.0;6.0;35.5;3.0
4.0;49.0;8.0;66.7;7.0
5.0;45.0;6.0;43.1;8.0
4.0;76.0;10.0;26.3;3.0
6.0;55.0;5.0;43.2;6.0
9.0;53.0;1.0;46.5;2.0
4.0;46.0;3.0;32.0;7.0
9.0;86.0;8.0;27.0;6.0
5.0;84.0;5.0;30.2;2.0
7.0;73.0;2.0;36.3;4.0
2.0;89.0;8.0;17.0;4.0
9.0;75.0;6.0;23.3;4.0
3.0;41.0;10.0;36.6;7.0
9.0;49.0;7.0;37.2;8.0
8.0;49.0;7.0;42.5;5.0
6.0;40.0;4.0;30.4;4.0
8.0;89.0;6.0;42.5;1.0
2.0;72.0;1.0;20.8;5.0
2.0;70.0;10.0;71.8;1.0
6.0;82.0;3.0;70.7;3.0
6.0;82.0;4.0;34.1;2.0
10.0;84.0;6.0;31.3;8.0
9.0;40.0;6.0;45.1;2.0
3.0;75.0;9.0;23.0;5.0
6.0;67.0;5.0;65.2;4.0
6.0;63.0;2.0;35.2;7.0
9.0;57.0;1.0;44.5;4.0
2.0;51.0;10.0;41.6;7.0
6.0;79.0;1.0;28.8;2.0
7.0;70.0;7.0;36.8;7.0
6.0;78.0;1.0;48.9;2.0
7.0;90.0;5.0;69.7;4.0
4.0;60.0;2.0;25.1;6.0
6.0;57.0;9.0;49.5;5.0
6.0;81.0;6.0;21.8;5.0
6.0;69.0;4.0;40.9;4.0
2.0;76.0;8.0;50.7;5.0
9.0;61.0;9.0;18.5;5.0
5.0;82.0;5.0;72.8;2.0
8.0;57.0;7.0;31.2;8.0
8.0;71.0;1.0;63.8;3.0
7.0;49.0;7.0;29.7;5.0
9.0;62.0;4.0;20.0;5.0
4.0;65.0;5.0;64.6;7.0
6.0;86.0;6.0;22.4;1.0
8.0;51.0;4.0;45.4;6.0
4.0;47.0;3.0;67.9;3.0
2.0;85.0;6.0;31.0;8.0
4.0;73.0;7.0;36.7;4.0
10.0;49.0;8.0;39.8;3.0
4.0;51.0;7.0;63.9;4.0
10.0;55.0;6.0;19.0;4.0
6.0;46.0;1.0;60.6;6.0
7.0;59.0;9.0;55.6;4.0
7.0;65.0;10.0;17.7;6.0
3.0;89.0;1.0;44.6;1.0
7.0;75.0;4.0;70.2;7.0
3.0;51.0;7.0;25.5;8.0
6.0;55.0;9.0;67.0;7.0
3.0;59.0;6.0;49.0;2.0
5.0;66.0;7.0;62.5;6.0
7.0;64.0;7.0;49.8;6.0
5.0;39.0;1.0;72.6;1.0
9.0;72.0;8.0;51.9;1.0
7.0;55.0;5.0;33.6;5.0
10.0;89.0;7.0;28.5;1.0
6.0;66.0;6.0;32.0;3.0
7.0;81.0;3.0;41.5;7.0
8.0;52.0;5.0;67.6;2.0
10.0;72.0;5.0;57.0;6.0
5.0;61.0;10.0;43.3;5.0
5.0;63.0;1.0;38.0;4.0
2.0;58.0;9.0;47.9;8.0
3.0;48.0;3.0;38.0;6.0
8.0;83.0;7.0;59.3;1.0
5.0;38.0;2.0;33.7;1.0
4.0;53.0;2.0;28.5;4.0
3.0;42.0;9.0;51.8;3.0
2.0;52.0;9.0;30.0;7.0
4.0;43.0;8.0;72.5;3.0
8.0;77.0;2.0;66.0;3.0
6.0;48.0;6.0;39.0;5.0
6.0;85.0;1.0;22.5;2.0
5.0;69.0;7.0;18.7;5.0
4.0;84.0;4.0;25.6;1.0
3.0;47.0;6.0;23.6;3.0
9.0;64.0;9.0;23.6;6.0
7.0;61.0;1.0;42.3;4.0
8.0;73.0;10.0;28.4;6.0
9.0;58.0;6.0;69.3;7.0
4.0;51.0;1.0;57.1;4.0
10.0;88.0;1.0;23.1;2.0
2.0;89.0;4.0;67.8;6.0
6.0;52.0;7.0;40.5;8.0
9.0;77.0;4.0;46.5;4.0
6.0;52.0;3.0;60.7;3.0
9.0;59.0;6.0;54.4;3.0
6.0;44.0;4.0;68.8;4.0
4.0;66.0;2.0;57.9;8.0
10.0;43.0;9.0;44.1;3.0
9.0;64.0;8.0;67.1;4.0
3.0;83.0;5.0;43.0;4.0
5.0;66.0;3.0;33.3;1.0
5.0;72.0;10.0;59.3;6.0
10.0;38.0;10.0;40.5;5.0
8.0;78.0;4.0;25.7;4.0
8.0;42.0;5.0;72.0;5.0
5.0;60.0;8.0;51.2;5.0
7.0;80.0;3.0;16.0;2.0
7.0;83.0;8.0;65.1;1.0
5.0;69.0;1.0;67.0;7.0
9.0;75.0;9.0;32.0;4.0
10.0;81.0;4.0;63.4;2.0
6.0;53.0;10.0;27.1;1.0
4.0;76.0;10.0;65.0;7.0
10.0;82.0;8.0;68.5;7.0
4.0;49.0;6.0;59.0;1.0
6.0;87.0;2.0;19.6;1.0
6.0;76.0;3.0;33.9;4.0
10.0;82.0;8.0;50.3;5.0
5.0;78.0;7.0;56.6;6.0
6.0;78.0;4.0;21.8;5.0
8.0;68.0;6.0;65.6;5.0
2.0;55.0;4.0;26.6;8.0
2.0;61.0;3.0;50.6;4.0
9.0;87.0;9.0;53.5;6.0
8.0;57.0;1.0;34.3;1.0
9.0;72.0;1.0;21.8;1.0
5.0;73.0;3.0;21.4;8.0
8.0;87.0;7.0;31.1;8.0
2.0;53.0;1.0;71.7;3.0
10.0;82.0;6.0;61.1;7.0
4.0;88.0;2.0;63.5;1.0
9.0;47.0;8.0;71.7;2.0
8.0;73.0;8.0;36.3;6.0
7.0;77.0;5.0;17.6;5.0
7.0;60.0;7.0;18.1;2.0
5.0;65.0;2.0;72.5;7.0
6.0;67.0;1.0;21.6;1.0
2.0;47.0;8.0;36.7;3.0
2.0;76.0;8.0;22.8;2.0
2.0;55.0;6.0;27.5;3.0
9.0;39.0;3.0;54.2;8.0
10.0;61.0;1.0;44.8;3.0
7.0;72.0;1.0;58.4;7.0
9.0;48.0;7.0;29.0;8.0
8.0;87.0;9.0;26.2;4.0
5.0;72.0;4.0;46.0;4.0
3.0;75.0;6.0;40.6;8.0
7.0;39.0;9.0;46.3;7.0
6.0;54.0;1.0;40.4;4.0
10.0;90.0;8.0;70.8;7.0
2.0;73.0;7.0;23.0;4.0
2.0;46.0;5.0;69.3;6.0
3.0;42.0;2.0;61.5;6.0
7.0;69.0;9.0;56.3;6.0
9.0;70.0;3.0;66.1;5.0
10.0;55.0;5.0;15.8;2.0
10.0;39.0;4.0;39.0;1.0
7.0;52.0;10.0;18.4;5.0
2.0;89.0;5.0;56.0;2.0
9.0;58.0;8.0;51.8;2.0
4.0;50.0;6.0;71.1;2.0
8.0;43.0;1.0;48.9;7.0
6.0;82.0;3.0;67.9;1.0
4.0;54.0;2.0;67.0;3.0
4.0;80.0;10.0;23.5;1.0
5.0;59.0;6.0;45.7;2.0
7.0;69.0;2.0;16.1;5.0
3.0;71.0;3.0;57.6;4.0
2.0;63.0;4.0;58.6;4.0
3.0;83.0;5.0;19.7;6.0
3.0;86.0;9.0;31.9;2.0
9.0;56.0;6.0;25.7;4.0
9.0;42.0;4.0;37.0;8.0
7.0;79.0;2.0;24.2;6.0
3.0;73.0;2.0;41.4;3.0
3.0;44.0;8.0;43.5;2.0
3.0;56.0;10.0;26.7;6.0
4.0;90.0;3.0;31.1;2.0
9.0;67.0;6.0;37.0;1.0
6.0;78.0;6.0;26.1;3.0
2.0;83.0;6.0;20.5;1.0
8.0;87.0;10.0;17.1;2.0
8.0;66.0;1.0;15.1;4.0
7.0;62.0;10.0;17.2;5.0
4.0;84.0;6.0;30.4;7.0
2.0;65.0;7.0;57.9;4.0
7.0;67.0;2.0;25.7;8.0
8.0;45.0;1.0;39.1;6.0
2.0;65.0;9.0;68.1;1.0
2.0;75.0;7.0;70.2;4.0
2.0;62.0;7.0;42.3;7.0
10.0;65.0;3.0;37.9;5.0
4.0;83.0;7.0;18.8;5.0
10.0;87.0;1.0;49.9;4.0
3.0;38.0;4.0;18.9;8.0
4.0;58.0;2.0;26.8;1.0
8.0;71.0;8.0;30.6;8.0
6.0;40.0;5.0;26.1;5.0
2.0;59.0;5.0;69.3;4.0
9.0;44.0;5.0;45.3;6.0
10.0;39.0;2.0;20.6;5.0
6.0;87.0;10.0;16.5;3.0
7.0;44.0;1.0;45.8;8.0
6.0;42.0;4.0;19.8;1.0
10.0;73.0;1.0;61.8;3.0
4.0;55.0;5.0;29.9;5.0
5.0;69.0;9.0;61.4;3.0
10.0;42.0;7.0;29.5;3.0
7.0;64.0;2.0;53.9;8.0
7.0;64.0;5.0;29.2;1.0
9.0;88.0;7.0;53.5;6.0
6.0;39.0;2.0;22.4;3.0
2.0;41.0;10.0;17.7;8.0
4.0;65.0;9.0;18.6;3.0
10.0;48.0;6.0;44.0;4.0
4.0;56.0;4.0;70.3;1.0
6.0;46.0;5.0;45.1;5.0
10.0;56.0;10.0;38.9;7.0
10.0;82.0;4.0;62.4;3.0
3.0;72.0;1.0;48.1;5.0
5.0;58.0;3.0;68.2;7.0
5.0;71.0;8.0;25.2;3.0
7.0;41.0;5.0;63.7;1.0
10.0;70.0;7.0;35.9;5.0
3.0;79.0;1.0;25.0;6.0
8.0;90.0;2.0;26.3;6.0
2.0;52.0;4.0;66.7;2.0
5.0;87.0;6.0;46.2;2.0
3.0;82.0;10.0;68.2;1.0
5.0;42.0;6.0;15.6;8.0
8.0;40.0;1.0;53.3;1.0
5.0;71.0;10.0;16.0;3.0
7.0;83.0;7.0;24.6;7.0
7.0;74.0;6.0;34.1;3.0
5.0;50.0;1.0;27.8;8.0
5.0;53.0;7.0;29.1;8.0
5.0;39.0;5.0;60.9;1.0
8.0;62.0;4.0;18.6;4.0
7.0;62.0;1.0;38.5;1.0
7.0;45.0;2.0;67.6;8.0
5.0;83.0;4.0;66.8;8.0
6.0;78.0;3.0;39.8;1.0
9.0;82.0;1.0;51.8;8.0
5.0;74.0;3.0;22.3;5.0
7.0;49.0;4.0;47.4;3.0
5.0;41.0;4.0;27.1;8.0
3.0;86.0;5.0;72.6;7.0
2.0;62.0;8.0;40.7;4.0
8.0;81.0;10.0;39.3;3.0
5.0;53.0;4.0;60.3;5.0
3.0;56.0;5.0;17.4;2.0
3.0;48.0;7.0;32.1;7.0
8.0;70.0;7.0;47.7;5.0
7.0;87.0;6.0;68.0;4.0
6.0;90.0;6.0;40.8;3.0
2.0;47.0;5.0;24.2;5.0
10.0;43.0;3.0;28.4;6.0
8.0;50.0;8.0;66.0;4.0
4.0;66.0;9.0;34.4;6.0
7.0;83.0;6.0;47.2;3.0
8.0;63.0;8.0;42.2;8.0
7.0;46.0;4.0;43.0;6.0
7.0;50.0;3.0;62.9;5.0
3.0;47.0;2.0;70.2;7.0
10.0;75.0;4.0;56.0;5.0
6.0;71.0;9.0;39.9;2.0
5.0;87.0;8.0;66.8;7.0
8.0;69.0;5.0;23.1;5.0
10.0;70.0;6.0;23.5;1.0
5.0;48.0;2.0;66.2;2.0
10.0;40.0;6.0;48.0;7.0
10.0;49.0;7.0;18.1;6.0
10.0;73.0;4.0;26.7;3.0
5.0;90.0;1.0;59.6;7.0
8.0;42.0;7.0;65.4;5.0
9.0;39.0;5.0;45.8;2.0
4.0;69.0;1.0;67.9;7.0
2.0;43.0;4.0;63.7;1.0
2.0;87.0;10.0;27.4;6.0
10.0;53.0;4.0;71.8;2.0
2.0;55.0;4.0;68.2;4.0
4.0;53.0;8.0;25.7;3.0
8.0;50.0;7.0;21.1;7.0
2.0;80.0;3.0;46.6;4.0
10.0;79.0;9.0;36.3;7.0
6.0;78.0;4.0;61.2;1.0
4.0;39.0;1.0;15.8;5.0
6.0;64.0;6.0;49.7;7.0
2.0;63.0;3.0;64.1;5.0
2.0;54.0;10.0;26.8;8.0
5.0;71.0;6.0;42.9;5.0
7.0;71.0;2.0;24.9;4.0
6.0;86.0;3.0;38.9;4.0
3.0;48.0;10.0;27.1;5.0
5.0;43.0;3.0;71.0;2.0
3.0;40.0;10.0;48.4;1.0
3.0;44.0;4.0;35.3;1.0
3.0;82.0;5.0;17.3;5.0
6.0;45.0;1.0;40.5;8.0
4.0;52.0;7.0;39.6;2.0
4.0;87.0;6.0;70.3;3.0
3.0;87.0;3.0;21.7;6.0
10.0;73.0;8.0;17.2;6.0
8.0;65.0;9.0;71.7;5.0
10.0;68.0;9.0;41.0;1.0
3.0;89.0;8.0;49.6;6.0
2.0;77.0;9.0;60.7;1.0
7.0;71.0;1.0;23.1;3.0
3.0;70.0;1.0;69.0;1.0
7.0;69.0;3.0;64.5;1.0
6.0;43.0;4.0;71.8;3.0
7.0;87.0;1.0;61.4;3.0
9.0;60.0;2.0;49.3;4.0
6.0;49.0;1.0;49.2;3.0
10.0;54.0;9.0;37.3;1.0
9.0;82.0;6.0;47.8;2.0
8.0;73.0;1.0;59.9;6.0
7.0;69.0;9.0;53.0;6.0
2.0;58.0;1.0;64.8;2.0
6.0;82.0;5.0;43.0;2.0
10.0;64.0;6.0;62.2;7.0
10.0;45.0;7.0;51.6;1.0
7.0;38.0;7.0;47.7;6.0
5.0;75.0;2.0;62.8;2.0
8.0;83.0;10.0;41.9;3.0
6.0;41.0;4.0;19.8;4.0
10.0;40.0;8.0;21.2;6.0
8.0;79.0;8.0;69.6;8.0
10.0;81.0;1.0;18.7;5.0
6.0;88.0;3.0;61.2;8.0
8.0;80.0;8.0;31.3;1.0
5.0;85.0;6.0;42.1;5.0
3.0;67.0;3.0;61.1;6.0
10.0;73.0;8.0;62.9;7.0
9.0;83.0;5.0;70.5;6.0
7.0;68.0;8.0;69.5;4.0
2.0;74.0;5.0;37.2;8.0
6.0;62.0;6.0;28.6;6.0
6.0;67.0;1.0;18.3;2.0
10.0;42.0;6.0;26.6;6.0
5.0;39.0;1.0;60.8;1.0
8.0;81.0;9.0;67.4;2.0
7.0;38.0;5.0;22.8;2.0
2.0;75.0;10.0;68.9;6.0
4.0;52.0;7.0;27.1;3.0
6.0;86.0;1.0;36.4;1.0
