Date,^TYX,^XAU,CD,EM,^RUT,^GDAXI,^TNX,GC Trend
09/02/1997,6.64,97.99,0.7232,94.3550,433.04,4073.70,6.34,DOWN
09/08/1997,6.59,94.09,0.7242,94.3450,440.09,3796.60,6.28,DOWN
09/15/1997,6.37,94.84,0.7185,94.3437,447.17,3983.10,6.08,DOWN
09/22/1997,6.36,102.23,0.7236,94.3700,448.88,4135.10,6.07,DOWN
09/29/1997,6.30,109.14,0.7261,94.3550,459.52,4266.20,6.00,DOWN
10/06/1997,6.42,107.29,0.7317,94.3750,465.03,4164.60,6.14,DOWN
10/14/1997,6.43,101.38,0.7259,94.3250,449.29,4049.20,6.14,DOWN
10/20/1997,6.29,96.51,0.7240,94.2650,447.53,3981.40,6.00,DOWN
10/27/1997,6.14,87.91,0.7154,94.3550,433.26,3753.70,5.82,DOWN
11/03/1997,6.15,81.39,0.7123,94.3500,435.22,3715.40,5.89,DOWN
11/10/1997,6.08,77.05,0.7124,94.3150,428.41,3676.70,5.85,DOWN
11/17/1997,6.03,76.53,0.7062,94.3125,435.05,3941.90,5.80,DOWN
11/24/1997,6.04,70.82,0.7045,94.0600,429.92,3972.10,5.85,DOWN
12/01/1997,6.08,67.29,0.7033,94.0100,438.06,4191.80,5.89,DOWN
12/08/1997,5.93,67.74,0.7041,94.0150,422.63,4061.90,5.73,DOWN
12/15/1997,5.90,71.22,0.7042,94.0391,420.03,4055.40,5.71,DOWN
12/22/1997,5.90,74.57,0.6987,94.2950,421.49,4132.80,5.74,DOWN
12/29/1997,5.85,75.34,0.6960,94.2900,436.52,4364.30,5.66,DOWN
01/05/1998,5.70,63.65,0.7030,94.3750,412.95,4237.80,5.38,DOWN
01/12/1998,5.79,71.82,0.6985,94.4200,426.25,4216.20,5.51,DOWN
01/20/1998,5.97,76.13,0.6953,94.4250,424.81,4222.20,5.68,DOWN
01/26/1998,5.80,74.97,0.6909,94.4100,430.05,4442.50,5.51,DOWN
02/02/1998,5.91,76.18,0.6889,94.4050,445.50,4536.90,5.60,DOWN
02/09/1998,5.84,76.71,0.6982,94.3850,454.29,4522.40,5.47,DOWN
02/17/1998,5.86,70.97,0.6943,94.3700,453.99,4583.00,5.52,DOWN
02/23/1998,5.92,75.45,0.7032,94.3250,461.83,4693.90,5.62,DOWN
03/02/1998,6.02,74.76,0.7058,94.3100,463.72,4762.70,5.71,DOWN
03/09/1998,5.89,76.57,0.7082,94.3250,468.77,4872.20,5.57,DOWN
03/16/1998,5.88,71.21,0.7077,94.3125,474.25,5045.20,5.56,DOWN
03/23/1998,5.95,83.22,0.7060,94.3650,477.15,5066.90,5.67,DOWN
03/30/1998,5.78,87.35,0.7045,94.3350,485.79,5254.30,5.45,DOWN
04/06/1998,5.88,85.64,0.7059,94.3600,480.04,5312.30,5.57,DOWN
04/13/1998,5.87,83.91,0.6980,94.3450,487.01,5326.60,5.58,DOWN
04/20/1998,5.94,89.88,0.7015,94.3550,480.32,5144.40,5.65,DOWN
04/27/1998,5.93,85.69,0.6956,94.3200,484.94,5107.44,5.65,DOWN
05/04/1998,5.97,84.07,0.6980,94.3500,479.51,5257.58,5.70,DOWN
05/11/1998,5.97,84.29,0.6971,94.3500,472.44,5393.14,5.67,DOWN
05/18/1998,5.90,81.04,0.6908,94.3350,462.99,5564.21,5.62,DOWN
05/26/1998,5.80,74.71,0.6876,94.3600,456.62,5569.08,5.55,DOWN
06/01/1998,5.78,72.78,0.6861,94.3550,454.24,5688.50,5.57,DOWN
06/08/1998,5.65,68.23,0.6862,94.3450,441.59,5670.83,5.41,DOWN
06/15/1998,5.67,69.54,0.6787,94.3450,438.47,5702.61,5.46,DOWN
06/22/1998,5.63,69.56,0.6806,94.3550,450.27,5870.42,5.44,DOWN
06/29/1998,5.59,68.80,0.6809,94.3450,458.31,5953.16,5.40,DOWN
07/06/1998,5.62,67.47,0.6795,94.3450,458.43,5982.42,5.41,DOWN
07/13/1998,5.74,70.34,0.6765,94.3550,462.36,6147.87,5.50,DOWN
07/20/1998,5.68,66.15,0.6724,94.3550,438.58,6035.28,5.44,DOWN
07/27/1998,5.72,62.92,0.6652,94.3500,419.75,5873.92,5.49,DOWN
08/03/1998,5.62,63.20,0.6602,94.3600,415.80,5581.22,5.39,DOWN
08/10/1998,5.54,59.91,0.6597,94.3600,402.79,5447.90,5.39,DOWN
08/17/1998,5.46,61.66,0.6555,94.3550,395.64,5163.51,5.32,DOWN
08/24/1998,5.36,51.41,0.6464,94.4025,358.54,4993.54,5.08,DOWN
08/31/1998,5.27,64.69,0.6361,94.4150,347.07,4820.25,5.00,DOWN
09/08/1998,5.23,67.90,0.6578,94.4200,353.62,4737.15,4.82,DOWN
09/14/1998,5.14,68.03,0.6626,94.5750,363.26,4598.58,4.68,DOWN
09/21/1998,5.12,74.11,0.6544,94.7575,369.02,4561.58,4.58,DOWN
09/28/1998,4.85,82.89,0.6621,94.7200,349.71,3962.50,4.28,DOWN
10/05/1998,5.11,76.68,0.6409,94.6800,318.40,3983.65,4.77,DOWN
10/13/1998,4.96,76.35,0.6492,94.9800,342.87,4489.10,4.42,DOWN
10/19/1998,5.16,69.71,0.6494,94.8600,367.05,4451.09,4.66,DOWN
10/26/1998,5.14,75.39,0.6484,94.7875,378.16,4671.12,4.60,DOWN
11/02/1998,5.36,79.28,0.6564,94.7350,400.32,4836.22,4.92,DOWN
11/09/1998,5.25,78.22,0.6471,94.7234,389.36,4639.65,4.81,DOWN
11/16/1998,5.21,77.05,0.6459,94.6750,394.29,4911.88,4.81,DOWN
11/23/1998,5.16,74.61,0.6451,94.4550,402.09,5121.48,4.80,DOWN
11/30/1998,5.04,67.16,0.6521,94.5325,398.37,4775.23,4.61,DOWN
12/07/1998,5.01,65.86,0.6502,94.4800,395.37,4536.20,4.60,DOWN
12/14/1998,5.01,64.78,0.6485,95.0500,397.42,4629.23,4.57,DOWN
12/21/1998,5.21,63.41,0.6451,95.0100,405.56,4951.77,4.85,DOWN
12/28/1998,5.08,64.97,0.6449,95.0050,421.96,5002.39,4.64,DOWN
01/04/1999,5.26,72.95,0.6551,95.0100,431.23,5392.84,4.84,DOWN
01/11/1999,5.11,68.74,0.6641,95.0400,427.05,4960.22,4.67,DOWN
01/19/1999,5.08,66.92,0.6534,95.0850,422.44,5019.28,4.63,DOWN
01/25/1999,5.09,63.26,0.6589,95.0700,427.22,5159.96,4.65,DOWN
02/01/1999,5.34,67.95,0.6627,95.0525,412.72,5080.77,4.93,DOWN
02/08/1999,5.42,66.62,0.6707,95.0625,398.44,4888.74,5.05,DOWN
02/16/1999,5.38,62.59,0.6688,95.0350,392.30,4802.38,5.06,DOWN
02/22/1999,5.55,60.56,0.6684,95.0275,392.26,4911.81,5.27,DOWN
03/01/1999,5.61,62.09,0.6569,95.0450,398.01,4839.09,5.32,DOWN
03/08/1999,5.53,63.37,0.6599,95.0625,398.38,5008.16,5.15,DOWN
03/15/1999,5.53,62.47,0.6553,95.0475,396.58,5099.48,5.15,DOWN
03/22/1999,5.60,60.76,0.6649,95.0500,393.92,4775.17,5.20,DOWN
03/29/1999,5.67,58.78,0.6606,95.0600,398.74,4914.59,5.27,DOWN
04/05/1999,5.45,59.23,0.6658,95.0750,405.86,5124.18,5.04,DOWN
04/12/1999,5.57,67.72,0.6699,95.0700,421.58,5155.35,5.21,DOWN
04/19/1999,5.59,67.59,0.6735,95.0875,431.73,5195.42,5.24,DOWN
04/26/1999,5.67,73.42,0.6778,95.0875,432.81,5393.11,5.35,DOWN
05/03/1999,5.81,72.05,0.6908,95.0850,436.11,5297.38,5.53,DOWN
05/10/1999,5.91,68.72,0.6855,95.0825,443.13,5173.25,5.60,DOWN
05/17/1999,5.77,63.66,0.6856,95.0325,449.14,5264.68,5.52,DOWN
05/24/1999,5.82,60.87,0.6876,95.0175,438.68,5068.73,5.61,DOWN
06/01/1999,5.96,62.08,0.6741,95.0250,442.33,5107.81,5.81,DOWN
06/07/1999,6.14,62.77,0.6809,95.0000,438.01,5262.15,6.00,DOWN
06/14/1999,5.97,61.80,0.6847,94.8425,445.05,5430.32,5.82,DOWN
06/21/1999,6.15,63.20,0.6804,94.7750,443.11,5301.21,6.01,DOWN
06/28/1999,6.00,67.07,0.6816,94.8375,456.51,5519.05,5.82,DOWN
07/06/1999,6.00,62.66,0.6806,94.8275,457.98,5638.95,5.82,DOWN
07/12/1999,5.89,59.14,0.6768,94.8225,465.26,5619.94,5.67,DOWN
07/19/1999,6.00,61.29,0.6717,94.7575,448.38,5310.63,5.83,DOWN
07/26/1999,6.10,62.87,0.6629,94.7175,444.77,5101.87,5.91,DOWN
08/02/1999,6.15,64.85,0.6648,94.6675,428.04,5010.47,6.01,DOWN
08/09/1999,6.10,68.94,0.6657,94.7212,434.05,5219.43,5.97,DOWN
08/16/1999,5.99,67.51,0.6742,94.6125,434.38,5254.14,5.87,DOWN
08/23/1999,5.96,66.89,0.6674,94.5825,432.45,5420.36,5.84,DOWN
08/30/1999,6.02,65.78,0.6699,94.6175,435.97,5336.22,5.88,DOWN
09/07/1999,6.03,66.63,0.6705,94.5425,441.19,5483.95,5.89,DOWN
09/13/1999,6.04,63.79,0.6805,94.5700,434.45,5303.94,5.85,DOWN
09/20/1999,5.95,71.46,0.6778,94.5900,417.09,5186.53,5.74,DOWN
09/27/1999,6.14,82.91,0.6811,94.5825,423.53,5124.55,5.99,UP
10/04/1999,6.19,77.09,0.6814,94.5850,427.71,5419.26,6.02,UP
10/12/1999,6.26,77.41,0.6756,94.4875,414.70,5184.23,6.07,UP
10/18/1999,6.35,72.34,0.6712,94.5025,418.69,5357.75,6.19,UP
10/25/1999,6.15,69.55,0.6788,94.5550,428.64,5525.40,6.00,DOWN
11/01/1999,6.04,66.80,0.6816,94.5600,442.41,5658.10,5.91,DOWN
11/08/1999,6.02,69.94,0.6788,93.8200,449.69,5791.05,5.91,DOWN
11/15/1999,6.16,67.94,0.6835,93.6125,461.27,5955.97,6.05,DOWN
11/22/1999,6.23,72.10,0.6823,93.6050,458.94,5958.07,6.11,DOWN
11/29/1999,6.26,64.79,0.6782,93.5625,464.58,6119.17,6.16,DOWN
12/06/1999,6.16,63.46,0.6786,94.2800,466.71,6097.90,6.07,DOWN
12/13/1999,6.38,67.47,0.6762,94.2325,466.21,6353.90,6.29,DOWN
12/20/1999,6.48,66.56,0.6776,94.2400,482.43,6782.39,6.39,DOWN
12/27/1999,6.48,67.97,0.6871,94.2000,504.75,6958.14,6.43,DOWN
01/03/2000,6.54,65.43,0.6894,94.2000,488.31,6780.96,6.50,DOWN
01/10/2000,6.69,63.79,0.6864,94.0450,507.56,7173.22,6.67,DOWN
01/18/2000,6.71,63.25,0.6907,94.0550,533.94,6992.75,6.78,DOWN
01/24/2000,6.43,59.05,0.6921,93.9975,504.62,7066.60,6.65,DOWN
01/31/2000,6.22,68.25,0.6988,94.1000,525.52,7444.61,6.52,DOWN
02/07/2000,6.29,67.50,0.6949,94.1200,537.10,7611.55,6.62,DOWN
02/14/2000,6.15,68.04,0.6911,93.9425,545.68,7573.78,6.48,DOWN
02/22/2000,6.15,60.59,0.6891,93.9750,556.74,7738.68,6.34,DOWN
02/28/2000,6.12,58.89,0.6876,93.9975,597.88,7960.03,6.37,DOWN
03/06/2000,6.19,59.50,0.6867,93.9962,603.81,7975.95,6.39,DOWN
03/13/2000,6.00,58.20,0.6859,93.8275,574.77,7710.92,6.19,DOWN
03/20/2000,5.98,59.83,0.6794,93.8300,574.01,7932.42,6.17,DOWN
03/27/2000,5.85,56.50,0.6824,93.8575,539.09,7599.39,6.02,DOWN
04/03/2000,5.71,56.11,0.6889,93.8600,542.99,7522.20,5.85,DOWN
04/10/2000,5.78,57.75,0.6900,93.8700,453.72,7214.83,5.89,DOWN
04/17/2000,5.82,55.71,0.6802,93.6575,481.84,7157.95,5.99,DOWN
04/24/2000,5.96,54.75,0.6798,93.5325,506.25,7414.68,6.21,DOWN
05/01/2000,6.19,59.92,0.6781,93.4500,512.84,7530.82,6.51,DOWN
05/08/2000,6.20,59.18,0.6684,93.4300,490.94,7269.28,6.50,DOWN
05/15/2000,6.23,56.72,0.6728,93.2700,479.70,6989.03,6.51,DOWN
05/22/2000,6.05,56.77,0.6681,93.2425,457.37,6839.33,6.32,DOWN
05/30/2000,5.93,59.27,0.6648,93.3450,513.03,7438.95,6.15,DOWN
06/05/2000,5.89,58.54,0.6714,93.3350,523.06,7246.79,6.11,DOWN
06/12/2000,5.88,60.21,0.6766,93.3525,513.74,7252.58,5.97,DOWN
06/19/2000,6.03,56.62,0.6777,93.3275,510.41,6980.41,6.18,DOWN
06/26/2000,5.88,57.81,0.6786,93.3725,517.23,6882.44,6.02,DOWN
07/03/2000,5.86,54.59,0.6777,93.3725,528.22,7044.77,6.00,DOWN
07/10/2000,5.87,54.64,0.6733,93.3675,542.63,7321.94,6.09,DOWN
07/17/2000,5.80,50.75,0.6765,93.3575,522.70,7378.86,6.00,DOWN
07/24/2000,5.78,51.29,0.6789,93.3525,490.22,7128.30,6.03,DOWN
07/31/2000,5.71,50.52,0.6834,93.3850,503.63,7016.59,5.90,DOWN
08/07/2000,5.71,52.99,0.6761,93.3775,510.27,7322.98,5.79,DOWN
08/14/2000,5.69,52.02,0.6747,93.3700,515.51,7232.42,5.77,DOWN
08/21/2000,5.67,51.80,0.6774,93.3900,525.11,7307.17,5.72,DOWN
08/30/2000,5.66,52.84,0.6739,93.3825,541.91,7344.67,5.68,DOWN
09/05/2000,5.69,54.74,0.6776,93.3775,535.70,7261.04,5.72,DOWN
09/11/2000,5.89,51.21,0.6753,93.3800,530.88,6999.54,5.83,DOWN
09/18/2000,5.90,49.51,0.6744,93.4075,518.82,6740.25,5.83,DOWN
09/25/2000,5.87,49.92,0.6755,93.3950,521.37,6798.12,5.78,DOWN
10/02/2000,5.84,45.98,0.6693,93.3825,491.02,6776.39,5.82,DOWN
10/09/2000,5.80,45.74,0.6695,93.3850,480.39,6661.30,5.72,DOWN
10/16/2000,5.72,43.39,0.6662,93.4100,487.45,6615.90,5.64,DOWN
10/23/2000,5.74,43.41,0.6608,93.3825,479.85,6924.68,5.71,DOWN
10/30/2000,5.84,43.62,0.6597,93.3800,507.75,7128.27,5.80,DOWN
11/06/2000,5.87,43.20,0.6537,93.3800,480.90,6851.69,5.80,DOWN
11/13/2000,5.77,41.85,0.6493,93.1775,482.61,6752.29,5.69,DOWN
11/20/2000,5.67,44.52,0.6444,93.1700,471.87,6664.18,5.62,DOWN
11/27/2000,5.64,48.61,0.6423,93.2700,456.84,6512.91,5.51,DOWN
12/04/2000,5.55,51.07,0.6512,93.3050,479.07,6691.25,5.34,DOWN
12/11/2000,5.42,49.43,0.6485,93.3050,458.03,6331.30,5.18,DOWN
12/18/2000,5.39,52.39,0.6545,93.6850,462.99,6251.40,5.00,DOWN
12/26/2000,5.46,51.41,0.6565,93.6225,483.53,6433.61,5.11,DOWN
01/02/2001,5.41,49.23,0.6632,94.2700,463.14,6382.31,4.95,DOWN
01/08/2001,5.62,48.89,0.6712,94.1525,485.75,6490.03,5.23,DOWN
01/16/2001,5.55,48.92,0.6683,94.4300,488.09,6651.53,5.17,DOWN
01/22/2001,5.64,48.51,0.6641,94.3950,498.68,6695.20,5.25,DOWN
01/29/2001,5.50,48.88,0.6621,94.5000,501.50,6638.20,5.14,DOWN
02/05/2001,5.37,46.66,0.6652,94.4600,497.05,6497.07,5.02,DOWN
02/12/2001,5.45,47.38,0.6619,94.4150,499.28,6439.26,5.09,DOWN
02/20/2001,5.47,50.23,0.6572,94.9125,477.45,6075.34,5.08,DOWN
02/26/2001,5.36,52.35,0.6491,94.8950,476.88,6159.02,4.94,DOWN
03/05/2001,5.32,55.01,0.6541,94.8950,473.65,6204.42,4.93,DOWN
03/12/2001,5.26,48.37,0.6495,94.9900,441.80,5734.49,4.75,DOWN
03/19/2001,5.30,48.89,0.6480,95.1775,443.27,5544.67,4.80,DOWN
03/26/2001,5.45,47.57,0.6403,95.0400,450.53,5829.95,4.91,DOWN
04/02/2001,5.46,50.41,0.6377,95.0350,434.66,5698.88,4.87,DOWN
04/09/2001,5.60,51.59,0.6334,94.9612,455.02,6002.30,5.15,DOWN
04/16/2001,5.78,52.04,0.6392,95.6370,466.71,6127.97,5.26,DOWN
04/23/2001,5.79,55.76,0.6413,95.7370,483.97,6175.24,5.31,DOWN
04/30/2001,5.65,54.78,0.6461,95.7550,492.89,6138.28,5.18,DOWN
05/07/2001,5.88,58.52,0.6514,95.8450,487.36,6141.02,5.48,DOWN
05/14/2001,5.75,65.27,0.6464,95.9750,506.28,6186.87,5.39,DOWN
05/21/2001,5.84,60.99,0.6464,95.9720,508.62,6223.57,5.49,DOWN
05/29/2001,5.71,58.12,0.6491,96.0350,501.72,6125.17,5.35,DOWN
06/04/2001,5.73,58.78,0.6502,96.0500,511.64,6187.21,5.33,DOWN
06/11/2001,5.66,58.37,0.6534,96.0550,495.13,5915.18,5.23,DOWN
06/18/2001,5.58,55.20,0.6552,96.3100,488.65,5941.77,5.12,DOWN
06/25/2001,5.74,53.25,0.6529,96.1550,512.64,6058.38,5.39,DOWN
07/02/2001,5.75,51.79,0.6584,96.1800,483.26,5862.10,5.37,DOWN
07/09/2001,5.63,53.86,0.6598,96.1900,490.71,5928.01,5.23,DOWN
07/16/2001,5.53,55.77,0.6572,96.3370,487.93,5764.06,5.11,DOWN
07/23/2001,5.54,54.60,0.6487,96.3300,485.01,5754.86,5.10,DOWN
07/30/2001,5.58,52.74,0.6489,96.3500,487.15,5735.88,5.16,DOWN
08/06/2001,5.53,55.15,0.6529,96.3620,475.52,5433.49,5.02,DOWN
08/13/2001,5.42,57.56,0.6508,96.5050,475.65,5222.12,4.84,DOWN
08/20/2001,5.44,58.26,0.6505,96.4750,480.81,5387.50,4.91,DOWN
08/27/2001,5.37,56.56,0.6457,96.5170,468.56,5188.17,4.82,DOWN
09/04/2001,5.39,55.03,0.6490,96.5630,445.19,4730.67,4.80,DOWN
09/10/2001,5.59,58.20,0.6407,96.6162,378.89,4115.98,4.69,DOWN
09/24/2001,5.41,57.79,0.6361,97.4100,404.87,3787.23,4.57,DOWN
10/01/2001,5.32,57.97,0.6357,97.4700,414.97,4308.15,4.50,DOWN
10/08/2001,5.42,54.44,0.6369,97.4620,428.59,4487.69,4.66,DOWN
10/15/2001,5.36,52.74,0.6381,97.6950,425.70,4625.13,4.60,DOWN
10/22/2001,5.27,52.94,0.6387,97.7770,438.65,4513.53,4.52,DOWN
10/29/2001,4.95,55.83,0.6360,97.7970,433.07,4820.26,4.35,DOWN
11/05/2001,4.88,54.72,0.6334,97.9300,438.10,4583.31,4.31,DOWN
11/12/2001,5.30,50.91,0.6279,97.8770,451.31,4910.07,4.89,DOWN
11/19/2001,5.37,49.83,0.6270,97.8800,458.42,5062.64,4.99,DOWN
11/26/2001,5.26,52.57,0.6289,97.9950,460.78,5150.97,4.74,DOWN
12/03/2001,5.60,52.89,0.6249,98.0000,481.21,4989.91,5.15,DOWN
12/10/2001,5.57,55.73,0.6349,98.1020,471.29,5199.03,5.16,DOWN
12/17/2001,5.46,54.98,0.6335,98.1500,484.02,4909.42,5.08,DOWN
12/24/2001,5.54,53.56,0.6409,98.1250,493.62,5019.01,5.11,DOWN
12/31/2001,5.57,55.95,0.6332,98.1420,499.30,5160.10,5.14,DOWN
01/07/2002,5.36,58.50,0.6258,98.1670,489.94,5318.73,4.86,DOWN
01/14/2002,5.37,58.34,0.6258,98.2970,474.37,5209.97,4.89,DOWN
01/22/2002,5.48,59.14,0.6261,98.1900,479.35,5122.23,5.07,DOWN
01/28/2002,5.43,62.80,0.6203,98.1750,480.04,5156.63,5.03,DOWN
02/04/2002,5.38,68.24,0.6203,98.1420,466.67,5097.06,4.88,DOWN
02/11/2002,5.37,67.40,0.6282,98.1570,469.25,4835.95,4.86,DOWN
02/19/2002,5.34,64.68,0.6262,98.1300,465.07,4862.60,4.83,DOWN
02/25/2002,5.50,65.61,0.6278,98.1370,478.34,4745.58,4.97,DOWN
03/04/2002,5.72,60.90,0.6264,98.0920,499.85,5097.41,5.32,DOWN
03/11/2002,5.78,61.92,0.6281,98.0800,499.12,5359.55,5.36,DOWN
03/18/2002,5.80,67.86,0.6307,98.0550,502.39,5401.11,5.39,DOWN
03/25/2002,5.82,70.89,0.6315,98.0500,506.46,5366.13,5.41,DOWN
04/01/2002,5.67,68.41,0.6329,98.0950,497.76,5397.29,5.21,UP
04/08/2002,5.65,69.79,0.6269,98.1250,515.46,5260.53,5.16,UP
04/15/2002,5.69,72.22,0.6289,98.1000,517.40,5189.65,5.19,UP
04/22/2002,5.59,77.50,0.6295,98.1300,501.50,5284.55,5.06,UP
04/29/2002,5.54,78.36,0.6357,98.1475,512.32,5000.38,5.06,UP
05/06/2002,5.61,79.90,0.6400,98.1575,492.73,4882.77,5.13,UP
05/13/2002,5.74,80.67,0.6395,98.1150,508.94,4871.70,5.24,UP
05/20/2002,5.67,85.84,0.6414,98.1300,493.64,5036.41,5.14,UP
05/28/2002,5.61,84.24,0.6464,98.1450,487.47,4899.13,5.04,UP
06/03/2002,5.65,78.75,0.6516,98.1550,470.51,4818.30,5.06,UP
06/10/2002,5.50,76.99,0.6545,98.1575,459.07,4610.18,4.91,UP
06/17/2002,5.40,78.16,0.6526,98.1525,461.07,4303.85,4.76,UP
06/24/2002,5.52,71.46,0.6467,98.1500,462.64,4232.40,4.82,UP
07/01/2002,5.53,69.62,0.6562,98.1600,440.92,4382.56,4.86,UP
07/08/2002,5.34,76.08,0.6578,98.1625,413.28,4483.03,4.59,UP
07/15/2002,5.35,71.29,0.6512,98.1612,386.20,4130.80,4.57,UP
07/22/2002,5.30,55.73,0.6561,98.1825,382.26,3891.88,4.37,UP
07/29/2002,5.20,63.23,0.6466,98.1725,376.45,3579.00,4.26,UP
08/05/2002,5.12,66.13,0.6354,98.2600,388.45,3532.49,4.27,UP
08/12/2002,5.09,65.75,0.6275,98.2250,395.97,3760.86,4.32,UP
08/19/2002,5.03,62.03,0.6320,98.1950,400.13,3684.69,4.23,UP
08/26/2002,4.94,69.46,0.6396,98.1900,390.96,3828.26,4.14,UP
09/03/2002,4.87,73.13,0.6408,98.2225,391.57,3712.94,4.04,UP
09/09/2002,4.76,75.90,0.6411,98.1675,389.99,3485.68,3.90,UP
09/16/2002,4.74,75.38,0.6362,98.1800,367.28,3361.28,3.78,UP
09/23/2002,4.69,68.61,0.6299,98.2300,361.78,3065.73,3.69,UP
09/30/2002,4.73,67.05,0.6335,98.3275,347.98,2918.90,3.68,UP
10/07/2002,4.82,62.52,0.6325,98.2125,344.93,2714.62,3.81,UP
10/14/2002,5.08,60.19,0.6266,98.1950,363.37,2930.74,4.13,UP
10/21/2002,5.08,62.31,0.6279,98.2025,372.64,3163.67,4.09,UP
10/28/2002,5.02,66.41,0.6353,98.3300,383.45,3102.01,3.98,UP
11/04/2002,4.79,68.92,0.6381,98.4350,379.00,3165.16,3.85,UP
11/11/2002,4.92,68.97,0.6415,98.6300,385.92,3079.10,4.05,UP
11/18/2002,5.02,64.67,0.6417,98.6119,400.00,3191.76,4.18,UP
11/25/2002,5.05,63.38,0.6343,98.5825,406.35,3320.88,4.21,UP
12/02/2002,4.98,71.29,0.6282,98.5800,396.72,3320.32,4.09,UP
12/09/2002,4.94,77.11,0.6352,98.5800,387.98,3207.53,4.06,UP
12/16/2002,4.89,74.88,0.6425,98.5775,386.88,3077.06,3.95,UP
12/23/2002,4.78,78.52,0.6406,98.6500,384.16,3024.22,3.81,UP
12/30/2002,4.95,79.51,0.6405,98.6675,390.31,2840.00,4.04,UP
01/06/2003,5.06,78.13,0.6422,98.6175,396.44,3092.94,4.15,UP
01/13/2003,4.93,75.43,0.6317,98.6200,388.10,3037.33,4.01,UP
01/21/2003,4.84,82.20,0.6387,98.6450,375.06,2918.82,3.90,UP
01/27/2003,4.85,77.00,0.6473,98.6750,372.17,2717.82,3.97,UP
02/03/2003,4.80,74.55,0.6500,98.6550,358.78,2747.83,3.92,UP
02/10/2003,4.88,72.15,0.6545,98.6650,358.50,2569.34,3.95,UP
02/18/2003,4.85,72.05,0.6582,98.6650,364.36,2674.46,3.89,UP
02/24/2003,4.68,71.99,0.6566,98.6775,360.52,2648.87,3.70,UP
03/03/2003,4.67,67.44,0.6566,98.6725,354.18,2547.05,3.62,UP
03/10/2003,4.71,65.63,0.6707,98.6825,354.39,2431.66,3.71,UP
03/17/2003,5.03,63.15,0.6732,98.7350,376.23,2403.19,4.09,UP
03/24/2003,4.91,66.74,0.6821,98.7187,368.70,2715.06,3.90,UP
03/31/2003,4.96,64.74,0.6756,98.7200,373.28,2520.84,3.94,UP
04/07/2003,4.95,65.73,0.6726,98.7275,371.30,2654.07,3.98,UP
04/14/2003,4.89,67.01,0.6774,98.7100,383.70,2733.95,3.96,UP
04/21/2003,4.82,65.53,0.6765,98.6975,388.50,2899.78,3.89,UP
04/28/2003,4.83,67.55,0.6854,98.6950,407.67,2838.23,3.91,UP
05/05/2003,4.68,70.69,0.6855,98.7375,413.53,2986.00,3.69,UP
05/12/2003,4.44,71.72,0.6874,98.6900,414.69,2956.59,3.46,UP
