"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"215",1102000196,"20140527T000000",477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,0,98118,47.5458,-122.268,2130,8700
"219",1250202145,"20140828T000000",1072000,2,2.25,3900,14864,1,0,3,3,8,1950,1950,1947,0,98144,47.5884,-122.291,2580,5184
"256",5101404898,"20140519T000000",592500,2,2,1420,9191,1.5,0,2,5,7,1420,0,1928,0,98115,47.6979,-122.32,1420,6816
"261",8722101360,"20141202T000000",780000,3,1,1660,4400,1.5,0,0,3,8,1460,200,1911,0,98112,47.6362,-122.302,1660,4400
"270",7960900060,"20150504T000000",2900000,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,98004,47.6312,-122.223,3890,20060
"271",4054500390,"20141007T000000",1365000,4,4.75,5310,57346,2,0,0,4,11,5310,0,1989,0,98077,47.7285,-122.042,4180,47443
"274",2976800796,"20140925T000000",236000,3,1,1300,5898,1,0,0,3,7,1300,0,1961,0,98178,47.5053,-122.255,1320,7619
"282",6874200960,"20150227T000000",170000,2,1,860,5265,1,0,0,3,6,860,0,1931,0,98178,47.5048,-122.272,1650,8775
"299",600000152,"20140602T000000",404000,3,1.5,2030,8880,1,0,0,3,7,1330,700,1963,0,98108,47.5586,-122.311,2140,5592
"302",3260800030,"20140811T000000",335000,3,2.5,2440,7632,2,0,0,3,8,2440,0,1998,0,98003,47.3494,-122.301,2510,7903
"305",4330600350,"20150115T000000",315000,3,2.25,2200,8750,1,0,0,4,7,1120,1080,1964,0,98166,47.476,-122.337,1460,10139
"308",8651520400,"20140612T000000",610750,4,2.25,2180,7297,2,0,0,3,8,2180,0,1984,0,98074,47.6459,-122.058,2250,9781
"313",1860600135,"20140502T000000",2384000,5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,0,98119,47.6345,-122.367,2880,5400
"322",2597650240,"20141023T000000",520000,3,2.25,2030,16200,2,0,0,3,8,2030,0,1984,0,98027,47.5162,-122.057,2660,17958
"326",7520000520,"20150311T000000",240500,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,98146,47.4957,-122.352,1820,7460
"332",2946001550,"20150416T000000",279000,6,1.75,2240,11180,2,0,0,4,7,2240,0,1955,0,98198,47.42,-122.323,1590,7955
"342",1115300070,"20141106T000000",684000,4,3.5,3040,8414,2,0,0,3,9,2420,620,2010,0,98059,47.5222,-122.157,3470,8066
"355",9262800171,"20150324T000000",252000,4,1.5,1550,19800,1,0,0,4,7,1050,500,1969,0,98001,47.3117,-122.27,1640,22654
"361",3211290370,"20140605T000000",463000,3,2.5,1640,29970,2,0,0,3,7,1640,0,1992,0,98053,47.6359,-121.974,1580,28399
"366",723099065,"20150130T000000",465000,3,2,1840,40438,2,0,0,3,7,1840,0,1994,0,98045,47.4853,-121.709,1380,44049
"371",6838700060,"20141204T000000",280000,3,2.25,1430,7222,2,0,0,3,7,1430,0,1993,0,98056,47.5112,-122.19,1430,7220
"376",98020310,"20140520T000000",730000,4,2.5,3230,7331,2,0,0,3,10,3230,0,2004,0,98075,47.5823,-121.97,3480,7447
"419",8724300030,"20141223T000000",355000,3,2.25,1860,5028,2,0,0,3,8,1860,0,2012,0,98019,47.7318,-121.982,2320,5465
"421",625049299,"20141203T000000",482000,2,1,950,3960,1,0,0,3,7,950,0,1941,0,98103,47.6885,-122.337,1320,4050
"430",305500140,"20150512T000000",365000,3,2.5,2200,4052,2,0,0,3,8,2200,0,2005,0,98058,47.4362,-122.178,2310,5082
"431",5468750060,"20141028T000000",328500,4,3,2290,8250,2,0,0,3,9,2290,0,1990,0,98042,47.3739,-122.156,2290,8250
"437",7504101040,"20140821T000000",722500,5,2.5,4870,11800,2,0,0,3,10,3470,1400,1983,0,98074,47.633,-122.041,3180,11398
"458",2122039094,"20141126T000000",705000,3,3,1970,20978,2,1,3,4,9,1770,200,1980,0,98070,47.3844,-122.438,2280,75396
"501",7852170140,"20150510T000000",650000,4,2.5,3180,5438,2,0,0,3,9,3180,0,2003,0,98065,47.5416,-121.864,3030,5335
"515",9276201895,"20140820T000000",615000,3,1.75,1900,5000,1,0,0,5,7,950,950,1951,0,98116,47.5789,-122.393,1770,5000
"520",1923069078,"20140805T000000",890000,4,3.25,3180,194278,2,0,0,3,10,3180,0,2005,0,98059,47.4711,-122.084,2200,178160
"564",2725069050,"20140613T000000",863000,4,2.5,4120,22370,2,0,0,3,10,4120,0,1997,0,98074,47.6239,-122.023,3180,7257
"580",8945200860,"20141211T000000",180000,3,1,1384,8960,1,0,0,4,6,1384,0,1965,0,98023,47.3062,-122.371,1000,8470
"583",2998800125,"20140701T000000",730000,2,2.25,2130,4920,1.5,0,4,4,7,1530,600,1941,0,98116,47.573,-122.409,2130,4920
"589",1442740140,"20140930T000000",370000,3,2.25,2110,13300,2,0,0,4,8,2110,0,1985,0,98038,47.3725,-122.06,2470,14000
"599",662310400,"20141017T000000",515000,4,3,3590,8249,2,0,0,3,9,3590,0,1997,0,98023,47.2846,-122.341,2860,7995
"600",8651100140,"20140805T000000",1220000,4,2.25,3200,15367,2,0,0,4,9,3200,0,1962,0,98040,47.5494,-122.216,3070,15263
"603",4233400340,"20140820T000000",185000,3,1.75,1430,10816,2,0,0,3,7,1430,0,1994,0,98010,47.3122,-121.996,1560,10816
"609",1796380960,"20141126T000000",223000,3,2,1670,6824,1,0,0,3,7,1300,370,1990,0,98042,47.3666,-122.084,1660,7586
"629",7010700292,"20141009T000000",543500,3,2.25,1270,2790,1,0,0,3,7,990,280,1970,0,98199,47.6581,-122.396,1920,4000
"639",7212652180,"20140701T000000",314500,3,2,2050,13303,1,0,0,3,8,2050,0,1993,0,98003,47.2681,-122.31,2180,11590
"646",1545804340,"20150409T000000",240000,3,1.75,1760,6500,1,0,0,3,7,1150,610,1987,0,98038,47.3647,-122.05,1760,8125
"653",3226200105,"20140523T000000",325000,3,1,1920,6862,1,0,2,3,7,1120,800,1952,0,98118,47.5193,-122.274,2000,6900
"666",2525500260,"20141124T000000",331000,3,1.75,1300,9079,1,0,0,3,7,1300,0,1986,0,98059,47.4834,-122.159,1890,7369
"690",1775800800,"20150224T000000",396000,3,1,1500,12616,1,0,0,3,7,1500,0,1967,0,98072,47.7415,-122.101,1820,13950
"699",766500030,"20140610T000000",225000,3,1.75,1760,26055,1,0,0,3,7,920,840,1979,0,98042,47.3664,-122.1,1350,13475
"705",41000454,"20140815T000000",130000,2,1,880,9000,1,0,0,3,5,880,0,1928,0,98188,47.4672,-122.291,1410,10000
"706",7203600550,"20140804T000000",325000,2,1,1060,5703,1,0,2,4,6,1060,0,1946,0,98198,47.3444,-122.327,2240,4416
"718",8820903380,"20140728T000000",452000,6,2.25,2660,13579,2,0,0,3,7,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242
"734",4021100045,"20140715T000000",550000,3,2,2380,17950,2,0,0,4,8,2110,270,1934,0,98155,47.7591,-122.28,2030,23900
"747",9277200111,"20140714T000000",650000,4,1.75,2010,5070,1,0,1,4,7,1300,710,1963,0,98116,47.5793,-122.402,2180,5400
"752",1563102435,"20141210T000000",950000,3,1.75,2150,4200,1,0,4,5,8,1140,1010,1960,0,98116,47.5671,-122.405,2510,7500
"754",8682300890,"20140828T000000",699800,2,2.5,2380,6600,1,0,0,3,8,2380,0,2010,0,98053,47.717,-122.02,1870,6600
"755",4385700765,"20140603T000000",850000,3,1.75,1370,3850,1,0,0,5,7,770,600,1911,1988,98112,47.6374,-122.279,1390,3600
"760",770000045,"20141024T000000",405600,5,1.5,2830,4000,2.5,0,0,4,8,2830,0,1918,0,98118,47.5132,-122.262,1480,4000
"763",826079094,"20150324T000000",330000,3,2,1400,218252,1,0,0,3,7,1400,0,1997,0,98019,47.7576,-121.934,2230,218222
"771",5104450990,"20140619T000000",429900,4,2.5,2640,8625,2,0,0,3,8,2640,0,1987,0,98058,47.4598,-122.15,2240,8700
"778",3814400125,"20141016T000000",493000,4,2,1910,2874,1,0,0,3,7,1060,850,1910,0,98122,47.6101,-122.295,1520,2874
"799",7852020640,"20141020T000000",470000,3,2.5,2100,4700,2,0,0,3,8,2100,0,1999,0,98065,47.5341,-121.867,2100,4700
"801",4083305445,"20140815T000000",650000,3,2,1340,2720,1.5,0,0,3,7,1340,0,1913,0,98103,47.6518,-122.335,2030,4590
"815",4045100075,"20150325T000000",2400000,4,4.25,4890,15188,2,0,2,3,11,3090,1800,1999,0,98040,47.5602,-122.227,3470,16201
"817",4057300200,"20141222T000000",310000,3,1.5,1150,3323,2,0,0,3,7,1150,0,1988,0,98029,47.5707,-122.017,1150,2980
"824",726049190,"20141002T000000",287500,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100
"832",8856890200,"20140626T000000",350000,3,2.25,1780,16290,2,0,0,4,8,1780,0,1987,0,98058,47.4622,-122.127,1780,8810
"848",3395050060,"20140722T000000",628000,3,1.75,4000,11894,1,0,0,3,9,2190,1810,1987,0,98011,47.7738,-122.203,2530,8650
"863",6403310060,"20140811T000000",539900,3,1.75,1650,10150,1,0,0,3,8,1230,420,1976,0,98033,47.6963,-122.169,1930,8958
"866",2310000240,"20150313T000000",275000,3,2.25,1420,8549,2,0,0,4,7,1420,0,1989,0,98038,47.3576,-122.039,1560,7471
"874",7504110030,"20150211T000000",785000,4,2.5,3300,10514,2,0,0,3,10,3300,0,1984,0,98074,47.6323,-122.036,2820,11462
"876",6306400140,"20140612T000000",1095000,0,0,3064,4764,3.5,0,2,3,7,3064,0,1990,0,98102,47.6362,-122.322,2360,4000
"898",4298100240,"20140805T000000",660000,3,2.5,2680,28243,2,0,0,3,9,2680,0,1993,0,98077,47.7637,-122.05,2670,32130
"901",1923000160,"20140620T000000",905000,4,3.5,2970,14486,2,0,0,3,9,2340,630,1997,0,98040,47.5627,-122.215,3680,14486
"917",2768301525,"20141023T000000",570000,3,3.25,1570,1777,2,0,0,3,8,1260,310,2007,0,98107,47.6655,-122.369,1000,1777
"923",4325000125,"20150318T000000",255000,3,1.5,1340,8450,1,0,0,4,7,1340,0,1958,0,98188,47.4405,-122.28,1340,8920
"976",1703050200,"20140806T000000",648000,4,2.5,2620,5450,2,0,0,3,9,2620,0,2001,0,98074,47.6301,-122.019,2590,5371
"977",5469700570,"20140812T000000",469500,5,2.5,2970,24759,1,0,0,4,8,1670,1300,1969,0,98031,47.3908,-122.173,2100,21803
"985",6380500135,"20140527T000000",326100,2,1,880,7683,1,0,0,3,6,880,0,1942,0,98177,47.7145,-122.361,1370,7695
"1027",1498302774,"20140520T000000",271310,2,1,870,5340,1.5,0,0,2,6,870,0,1906,0,98144,47.5849,-122.302,1190,4440
"1037",3919000030,"20150420T000000",395000,5,2.5,2070,9600,1,0,0,3,7,1270,800,1962,0,98146,47.4997,-122.364,1950,7800
"1049",2024059094,"20140825T000000",515000,3,2.25,1920,11500,1,0,0,3,8,1920,0,1972,2000,98006,47.5498,-122.188,2260,8866
"1085",6114600030,"20140520T000000",675000,4,3,2690,28300,1,0,0,3,8,2690,0,1954,1999,98166,47.4458,-122.343,2820,27100
"1098",5457300478,"20150513T000000",453500,2,1.75,1000,1760,1,0,0,4,6,600,400,1924,0,98109,47.6261,-122.355,2120,2802
"1105",3276930270,"20150425T000000",817500,4,2.5,2910,35679,2,0,0,4,9,2910,0,1987,0,98075,47.5859,-121.991,2720,36728
"1131",4427100030,"20150114T000000",332500,3,1.5,1500,6332,1,0,0,3,7,1500,0,1953,0,98125,47.7274,-122.312,1500,6337
"1153",4055701200,"20150421T000000",1955000,4,2.75,3120,7898,1,1,4,4,8,1560,1560,1963,0,98034,47.7165,-122.259,2630,13868
"1164",3876100320,"20140905T000000",482500,6,4.5,2940,7500,1.5,0,0,4,8,2940,0,1966,0,98034,47.7208,-122.182,2010,7500
"1199",3996900160,"20140708T000000",277000,2,1,770,8149,1,0,0,3,6,770,0,1948,0,98155,47.7458,-122.298,1160,8149
"1229",5249800729,"20150330T000000",680000,6,3.5,3000,6320,2,0,2,3,8,2400,600,1969,0,98118,47.562,-122.279,1720,6360
"1239",1630700135,"20141119T000000",659000,4,2,1980,23625,2,0,0,3,8,1980,0,1938,1984,98072,47.7553,-122.092,2300,24640
"1243",226059078,"20150227T000000",375000,2,1,1840,81892,1,0,0,3,6,1840,0,1955,0,98072,47.7694,-122.124,2550,40089
"1259",5244801230,"20140829T000000",682000,5,2.25,2120,4000,1.5,0,0,4,7,1720,400,1910,0,98109,47.644,-122.353,1960,4000
"1261",5701800030,"20140506T000000",609000,4,2.5,2150,37981,2,0,0,3,9,2150,0,1985,0,98052,47.7227,-122.098,2450,37981
"1266",7202340370,"20141110T000000",467000,3,2.5,1690,6642,2,0,0,3,7,1690,0,2004,0,98053,47.6793,-122.033,2120,5080
"1271",8079030350,"20140910T000000",441500,3,2.5,2420,9592,2,0,0,3,8,1780,640,1993,0,98059,47.5093,-122.153,2420,9145
"1274",1822069116,"20141217T000000",590000,3,2.5,2400,99752,1,0,0,3,9,2400,0,1996,0,98058,47.3917,-122.084,2800,98010
"1286",5113200310,"20140909T000000",270000,3,1,1240,14110,1,0,0,4,7,1240,0,1972,0,98058,47.4579,-122.09,2060,19350
"1288",2473003210,"20150313T000000",364808,3,1.75,2320,7875,1,0,0,3,8,1620,700,1967,0,98058,47.4524,-122.146,1990,9720
"1301",6392001670,"20140611T000000",588000,4,2,1680,5000,1,0,0,3,7,980,700,1950,0,98115,47.6858,-122.286,1680,6000
"1317",203600140,"20150324T000000",595000,3,2.75,2150,31238,2,0,0,3,9,2150,0,1996,0,98014,47.6596,-121.96,2650,38307
"1326",4337000160,"20150127T000000",110000,2,1,830,7590,1,0,0,2,6,830,0,1943,0,98166,47.4784,-122.335,980,7590
"1338",7234600796,"20141126T000000",495000,2,1.75,1850,2530,2.5,0,0,4,7,1850,0,1903,0,98122,47.6106,-122.31,1500,1795
"1347",9542100135,"20141112T000000",620000,4,1.75,2350,18800,1,0,2,3,8,2350,0,1959,0,98005,47.5904,-122.177,3050,14640
"1361",6821600390,"20150108T000000",815000,3,2,2310,6000,2,0,1,4,9,1560,750,1926,0,98199,47.648,-122.395,2000,6000
"1365",7222000393,"20140703T000000",290000,3,1,1440,11250,1,0,0,3,7,1440,0,1967,0,98055,47.4627,-122.213,2200,11250
"1371",7812800310,"20140625T000000",260000,2,1,1120,5650,1,0,0,3,6,1120,0,1944,0,98178,47.4979,-122.241,1270,6875
"1402",5636000400,"20140507T000000",253000,3,1.75,1250,10122,1,0,0,3,7,1250,0,1994,0,98010,47.3277,-122.001,1980,10175
"1404",7880000060,"20140604T000000",658588,3,2.25,2560,41346,2,0,0,3,10,2560,0,1986,0,98027,47.4871,-122.065,3040,35395
"1420",4292300024,"20150302T000000",350000,3,1.5,1430,12199,1,0,0,3,7,1130,300,1948,0,98133,47.7352,-122.33,1490,8196
"1422",9238450160,"20150428T000000",389000,3,1,1280,9630,1,0,0,3,7,1280,0,1968,0,98072,47.7677,-122.163,1300,9453
"1423",6127600036,"20141105T000000",799000,4,2.75,2390,6820,2,0,0,4,7,2140,250,1945,0,98115,47.6788,-122.27,1980,6820
"1431",3886902590,"20150226T000000",470000,5,2,1900,6000,1.5,0,0,4,6,1900,0,1920,0,98033,47.6831,-122.186,2110,8400
"1435",625049286,"20140815T000000",640000,3,1,1530,4944,1,0,0,3,7,1530,0,1950,0,98103,47.6857,-122.341,1500,4944
"1458",1596600060,"20150501T000000",250000,1,1,660,2600,1,0,0,3,6,660,0,1919,0,98144,47.5723,-122.304,1560,5445
"1475",2413301070,"20150324T000000",280000,4,2.25,2100,8075,2,0,0,3,8,2100,0,1978,0,98003,47.3251,-122.329,2100,7464
"1478",1703050520,"20150414T000000",652100,3,2.5,2380,5017,2,0,0,3,9,2380,0,2003,0,98074,47.6297,-122.021,2670,6066
"1482",7202290140,"20140728T000000",455800,3,2.5,1690,4584,2,0,0,3,7,1690,0,2002,0,98053,47.6866,-122.043,1600,3164
"1497",9264960560,"20141001T000000",340000,3,2.5,2690,8577,2,0,0,3,9,2690,0,1987,0,98023,47.3026,-122.351,2570,8066
"1511",4136930310,"20141106T000000",360000,4,2.5,2390,7115,2,0,0,3,9,2390,0,1999,0,98092,47.2593,-122.222,2600,7916
"1512",1328330350,"20150213T000000",390000,3,1.75,1320,7725,1,0,0,3,8,1320,0,1978,0,98058,47.4425,-122.133,2020,7210
"1518",7525410060,"20150109T000000",610000,4,2.25,2090,35040,1,0,0,3,8,1490,600,1980,0,98075,47.5739,-122.032,2910,21132
"1523",2621750340,"20141015T000000",337000,3,2,1690,9087,1,0,0,3,8,1690,0,1997,0,98042,47.3724,-122.108,2090,8100
"1530",3629920830,"20150506T000000",810000,4,2.5,3260,5608,2,0,0,3,9,3260,0,2003,0,98029,47.5453,-121.995,3010,5608
"1534",4395600060,"20140630T000000",935000,2,2.5,1780,2067,2,0,0,5,9,1780,0,1974,0,98004,47.6132,-122.21,2320,2067
"1545",6071600270,"20140603T000000",495000,4,2.25,2220,8872,1,0,0,4,8,1110,1110,1961,0,98006,47.5491,-122.17,2220,9106
"1547",1402200070,"20141013T000000",365000,4,2.25,1990,21312,1,0,0,4,8,1990,0,1968,0,98058,47.439,-122.144,2400,19210
"1554",984220240,"20141125T000000",299000,4,2.5,1820,7575,1,0,0,3,7,1220,600,1975,0,98058,47.4339,-122.167,1840,7650
"1561",1972201820,"20141016T000000",610000,4,2,2130,2620,1.5,0,0,5,7,1650,480,1919,0,98103,47.6515,-122.346,1330,2719
"1574",1974200060,"20150424T000000",525000,4,2.5,2400,10070,1,0,0,3,7,1510,890,1967,0,98034,47.7104,-122.24,2030,9964
"1585",8964800370,"20141022T000000",1375000,3,1.5,1850,10572,1,0,0,4,8,1850,0,1953,0,98004,47.6194,-122.208,3030,12752
"1607",3286800260,"20150506T000000",780000,5,2.5,3480,74052,1,0,0,4,8,1980,1500,1972,0,98027,47.4961,-122.063,2610,65775
"1620",7454000295,"20150130T000000",245000,2,1,710,6322,1,0,0,3,6,710,0,1942,0,98126,47.5165,-122.376,740,6720
"1633",9408300310,"20140624T000000",520000,3,1.75,2300,35722,1,0,0,3,9,2300,0,1984,0,98072,47.7455,-122.112,2600,34798
"1657",2011400791,"20141007T000000",425000,4,2,1330,9188,1.5,0,0,3,7,1330,0,1928,2004,98198,47.401,-122.319,1770,10419
"1659",1898200030,"20140922T000000",335000,4,2.5,2240,9701,2,0,0,3,9,2240,0,1989,0,98023,47.3086,-122.392,2240,9410
"1661",9126101740,"20141204T000000",490000,8,5,2800,2580,2,0,0,3,8,1880,920,1997,0,98122,47.6086,-122.303,1800,2580
"1662",5127001600,"20141106T000000",331500,4,1.75,1820,14319,1,0,0,4,7,1820,0,1969,0,98059,47.4757,-122.148,1440,10018
"1666",6372000060,"20140523T000000",662990,3,1.75,1240,3600,1.5,0,0,5,7,1240,0,1926,0,98116,47.5797,-122.405,1660,3600
"1667",2005300140,"20150330T000000",220000,4,2,2340,10507,1.5,0,0,4,6,2340,0,1959,0,98030,47.3578,-122.178,990,10507
"1677",5700003985,"20141029T000000",2250000,4,3.5,4440,8125,2,0,3,5,10,3140,1300,1922,0,98144,47.5744,-122.283,3990,8505
"1714",522059299,"20150204T000000",3e+05,3,1.75,1280,12776,1,0,0,4,7,1280,0,1977,0,98031,47.4212,-122.199,1680,11704
"1721",5450900140,"20140508T000000",830000,5,3,3040,9601,1,0,0,5,9,1970,1070,1968,0,98040,47.5562,-122.22,3180,12390
"1726",2822069078,"20141008T000000",368000,4,2,2500,36900,1,0,0,3,7,1540,960,1972,0,98038,47.3708,-122.049,1960,36900
"1737",5095600310,"20140725T000000",379500,3,2.25,2070,14196,2,0,0,3,7,2070,0,1989,0,98059,47.4617,-122.07,1550,13860
"1755",5608000700,"20140918T000000",1038000,3,2.5,4570,10615,2,0,0,3,12,4570,0,1991,0,98027,47.5533,-122.097,3860,11576
"1785",7504010560,"20140509T000000",920000,4,3,3750,11025,2,0,0,3,10,3750,0,1976,0,98074,47.6367,-122.059,2930,12835
"1788",2770606602,"20150305T000000",552500,3,1.75,2040,5775,1,0,0,3,7,1410,630,1958,0,98199,47.6592,-122.393,1360,4400
"1805",2538410140,"20140808T000000",330000,5,2.5,2600,3839,2,0,0,3,7,2600,0,2005,0,98058,47.4324,-122.145,2180,4800
"1811",4358700135,"20141118T000000",480000,3,2.5,2360,9005,1,0,0,5,7,1340,1020,1929,0,98133,47.7076,-122.337,1520,9005
"1818",1337300070,"20140924T000000",1315000,4,2.25,3180,6105,2,0,0,3,10,3180,0,1905,0,98112,47.6255,-122.314,3180,6029
"1840",1313500070,"20140820T000000",249000,3,1.5,1580,7200,1,0,0,4,7,1080,500,1976,0,98092,47.2761,-122.152,1580,7470
"1849",3271800295,"20150203T000000",1569500,5,4.5,5620,5800,3,0,3,3,11,4700,920,1999,0,98199,47.6482,-122.412,2360,5800
"1852",6117501176,"20150102T000000",5e+05,4,2.5,2230,26989,1,0,1,4,8,1400,830,1962,0,98166,47.4285,-122.345,2570,17702
"1853",2592400140,"20150211T000000",386500,3,1.75,1520,7350,1,0,0,4,7,1140,380,1972,0,98034,47.7167,-122.17,1380,7350
"1860",6918700320,"20150306T000000",685000,5,2.5,1900,7843,2,0,0,5,7,1900,0,1966,0,98008,47.6273,-122.123,1900,7350
"1861",9560700055,"20150310T000000",550000,5,2.5,2960,9877,1,0,0,4,7,1480,1480,1960,0,98005,47.5866,-122.171,1900,9877
"1879",4403600240,"20150113T000000",832000,4,2.25,3190,52953,2,0,0,4,10,3190,0,1980,0,98075,47.5933,-122.075,3190,51400
"1889",9253900354,"20140701T000000",580000,3,2.5,2200,11000,2,0,2,3,9,2200,0,1978,0,98008,47.5916,-122.112,2200,12851
"1896",4278900055,"20140528T000000",599000,4,2.75,2020,2750,1,0,0,3,8,1010,1010,1917,2014,98122,47.6053,-122.291,1840,4000
"1909",5637200200,"20140523T000000",439950,4,2.5,2380,12067,2,0,0,3,7,2380,0,2002,0,98059,47.4873,-122.144,2330,8621
"1922",5152960710,"20140514T000000",740000,5,5,5774,31675,1,0,2,3,11,4490,1284,1984,0,98003,47.3466,-122.323,3260,13200
"1928",2113700335,"20150408T000000",316500,3,1.75,1460,6360,1,0,2,3,7,1010,450,1979,0,98106,47.5311,-122.353,1400,4240
"1938",2926069062,"20140811T000000",840000,3,2.5,3050,33920,1,0,0,3,8,3050,0,2004,0,98052,47.7034,-122.072,1970,60984
"1939",6114400136,"20140714T000000",608250,4,2.75,3030,21780,2,0,0,3,8,3030,0,1986,0,98166,47.4481,-122.338,3020,28027
"1943",3826500570,"20140829T000000",275000,3,1.75,1490,8000,1,0,0,3,8,1490,0,1978,0,98030,47.3817,-122.166,1740,8165
"1954",1402000070,"20140520T000000",390000,4,2.25,1770,33132,1,0,0,4,8,1190,580,1965,0,98058,47.4413,-122.151,2490,20000
"1958",8849300160,"20150205T000000",345000,4,2.5,2280,8190,1,0,3,3,7,1390,890,1983,0,98188,47.4414,-122.272,1990,9000
"1968",9476200350,"20141013T000000",471750,5,3.5,3790,8200,1,0,1,3,8,2120,1670,2001,0,98056,47.4891,-122.19,1740,8676
"1978",4379400560,"20140529T000000",695000,3,2.5,2390,4555,2,0,0,3,9,2390,0,2006,0,98074,47.6199,-122.025,2540,4500
"1979",629810350,"20140521T000000",815000,4,2.75,3488,9614,2,0,0,3,10,3488,0,1998,0,98074,47.6055,-122.013,3600,10891
"1986",8568000070,"20140905T000000",5e+05,4,2.5,2840,18001,2,0,0,3,9,2840,0,1994,0,98019,47.7359,-121.962,2500,18001
"1989",3856901525,"20141001T000000",627500,4,1,1560,4080,1.5,0,0,3,7,1560,0,1923,0,98103,47.6711,-122.331,1890,4080
"1990",1180500070,"20141124T000000",335000,4,2.5,2330,7050,2,0,0,3,8,2330,0,1998,0,98178,47.5001,-122.231,1810,5424
"1991",7856560320,"20150317T000000",962000,4,2.25,3320,20100,1,0,0,4,8,1810,1510,1981,0,98006,47.5566,-122.153,2450,9821
"1993",8562890370,"20150414T000000",399950,4,2.5,3110,5868,2,0,0,3,8,3110,0,2001,0,98042,47.3781,-122.126,2950,5924
"2013",3626500045,"20140626T000000",760000,3,2.5,1980,13964,1,0,0,5,7,1980,0,1959,0,98040,47.571,-122.227,2040,13964
"2014",3226049117,"20150213T000000",387500,2,1,870,6126,1,0,0,4,7,870,0,1938,0,98125,47.7024,-122.322,1620,6126
